MaizeGDB: Details of Map Genetic 4
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
hipp37	147.45		GRMZM2G174673	Chr4	226995572	226998132					Zm00001d053438	Chr4	231449438	231452036	Zm00001eb204480	chr4	234902348	234905371																																																																									
bzip120	147.50		GRMZM2G052102	Chr4	227156011	227158307					Zm00001d053442	Chr4	231582689	231584787	Zm00001eb204490	chr4	235035775	235038244																																																																									
kch3	147.80		GRMZM2G081666	Chr4	227476359	227480644					Zm00001d053446	Chr4	231900509	231904788	Zm00001eb204540	chr4	235353779	235357734																																																																									
GRMZM2G170088	147.84		GRMZM2G170088	Chr4	227573890	227578802					Zm00001d053448	Chr4	231999507	232004462	Zm00001eb204560	chr4	235452827	235458077																																																																									
ubp26	147.86		GRMZM2G116314	Chr4	227644697	227649541					Zm00001d053450	Chr4	232067299	232077638	Zm00001eb204570	chr4	235520929	235530864																																																																									
pco071744	147.90		GRMZM2G029058	Chr4	227746592	227753142					Zm00001d053452	Chr4	232176354	232182440	Zm00001eb204590	chr4	235630006	235636254																																																																									
pep3	148.00		GRMZM2G074122	Chr4	227807369	227818655					Zm00001d053453	Chr4	232245967	232253821	Zm00001eb204600	chr4	235699653	235707452																																																																									
LOC103655970	148.02		GRMZM2G020309	Chr4	227909368	227910500					Zm00001d053454	Chr4	232338922	232339336																																																																													
cep2	148.17		GRMZM2G156026	Chr4	228133181	228135426					Zm00001d053513	Chr4	232561161	232562672	Zm00001eb204620	chr4	236014681	236017119																																																																									
mkkk43	148.17		GRMZM2G007854	Chr4	228239151	228289180					Zm00001d053515	Chr4	232669790	232729100	Zm00001eb204640	chr4	236123487	236182895																																																																									
LOC100281891	148.17		GRMZM2G007795	Chr4	228198212	228199935					Zm00001d053514	Chr4	232628675	232630132	Zm00001eb204630	chr4	236082248	236084078																																																																									
LOC103654758	148.18		GRMZM2G017022	Chr4	228425476	228427703					Zm00001d053518	Chr4	232854573	232857488	Zm00001eb204660	chr4	236308196	236311190																																																																									
IDP7418	148.19		AC185300.4_FG002	Chr4	228549375	228550451					Zm00001d053522	Chr4	232990810	232991886	Zm00001eb204700	chr4	236444235	236445700																																																																									
cl50024_-1	148.20		GRMZM2G117113	Chr4	228802434	228803213					Zm00001d053534	Chr4	233252865	233253284	Zm00001eb204800	chr4	236706409	236707156																																																																									
GRMZM2G338631	148.23		GRMZM2G338631	Chr4	228909857	228912163					Zm00001d053539	Chr4	233364868	233366082	Zm00001eb204840	chr4	236819242	236819737																																																																									
bzr3	148.26		GRMZM2G307241	Chr4	229089140	229092844					Zm00001d053543	Chr4	233528735	233529987	Zm00001eb204870	chr4	236982157	236983037																																																																									
arm13	148.26		GRMZM2G020196	Chr4	229159456	229162354					Zm00001d053544	Chr4	233597108	233599306	Zm00001eb204890	chr4	237050449	237053426																																																																									
gsk4	148.27		GRMZM2G121790	Chr4	229199657	229204882					Zm00001d053548	Chr4	233637127	233642207	Zm00001eb204920	chr4	237090895	237098028																																																																									
Zm00001d053545	148.27		GRMZM2G019358	Chr4	229164322	229170448					Zm00001d053545	Chr4	233601699	233611100	Zm00001eb204900	chr4	237055419	237061545																																																																									
miR399a	148.27		zma-MIR399a	Chr4	229179876	229179998					zma-MIR399a	Chr4	233617206	233617328																																																																													
miR399g	148.27		zma-MIR399g	Chr4	229181076	229181143					zma-MIR399g	Chr4	233618406	233618473																																																																													
Zm00001d053547	148.27		GRMZM2G018770	Chr4	229180838	229184206					Zm00001d053547	Chr4	233618739	233621527	Zm00001eb204910	chr4	237072488	237075300																																																																									
prx24	148.28		GRMZM2G117706	Chr4	229390065	229391580					Zm00001d053554	Chr4	233852901	233854306	Zm00001eb204960	chr4	237290737	237292212																																																																									
pco074613	148.28		GRMZM2G109731	Chr4	229459249	229467061					Zm00001d053555	Chr4	233903498	233911308	Zm00001eb204970	chr4	237341333	237349145																																																																									
ank34	148.28		GRMZM2G470863	Chr4	229593164	229595387					Zm00001d053558	Chr4	234052510	234054315	Zm00001eb205000	chr4	237460073	237471043																																																																									
Zm00001d053553	148.28		GRMZM2G175510	Chr4	229352509	229363491					Zm00001d053553	Chr4	233807693	233818548	Zm00001eb204950	chr4	237245588	237256529																																																																									
ppr259	148.29		GRMZM2G085718	Chr4	229715408	229720104					Zm00001d053561	Chr4	234194672	234201038	Zm00001eb205030	chr4	237611367	237618289																																																																									
TIDP2694	148.29		GRMZM2G111886	Chr4	229879213	229883781					Zm00001d053563	Chr4	234357519	234361884	Zm00001eb205050	chr4	237774329	237778689																																																																									
LOC100383500	148.29		GRMZM2G090328	Chr4	229853666	229855201					Zm00001d053562	Chr4	234332132	234333448	Zm00001eb205040	chr4	237748625	237750384																																																																									
IDP28	148.30		GRMZM2G069631	Chr4	230038361	230047912					Zm00001d053565	Chr4	234504377	234514028	Zm00001eb205080	chr4	237921190	237930837																																																																									
pco072181	148.30		GRMZM2G162992	Chr4	229945931	229952009					Zm00001d053564	Chr4	234422924	234429170	Zm00001eb205070	chr4	237839681	237845980																																																																									
rz599b	148.31		GRMZM2G154505	Chr4	230277228	230278253					Zm00001d053568	Chr4	234742154	234742759	Zm00001eb205100	chr4	238158602	238159826																																																																									
prh116	148.31		GRMZM2G040452	Chr4	230075113	230077905					Zm00001d053566	Chr4	234540871	234543612	Zm00001eb205090	chr4	237957702	237960493																																																																									
cyp25	148.32		GRMZM2G070508	Chr4	230384824	230387143					Zm00001d053569	Chr4	234845163	234847523	Zm00001eb205110	chr4	238261991	238264572																																																																									
cl3001_1b	148.34		GRMZM2G139643	Chr4	230436205	230441332					Zm00001d053572	Chr4	234902783	234907567	Zm00001eb205130	chr4	238320243	238324400																																																																									
mkkk36	148.36		GRMZM2G413069	Chr4	230503109	230513275					Zm00001d053575	Chr4	234970571	234980633	Zm00001eb205140	chr4	238386697	238397034																																																																									
elfg4	148.40		GRMZM2G320497	Chr4	230622369	230626030					Zm00001d053576	Chr4	235104770	235108555	Zm00001eb205160	chr4	238520880	238524975																																																																									
ckx7	148.50		GRMZM2G114427	Chr4	230558257	230560081																																																																																					
ckx8	148.50		GRMZM2G134634	Chr4	230648266	230650090					Zm00001d053578	Chr4	235114056	235116023	Zm00001eb205170	chr4	238530138	238532298																																																																									
ckx8b	148.60		GRMZM2G162048	Chr4	230722879	230724687					Zm00001d053579	Chr4	235221490	235224289	Zm00001eb205180	chr4	238624432	238626648																																																																									
cl1480_2a	148.65		GRMZM2G161969	Chr4	230727430	230731783					Zm00001d053580	Chr4	235225983	235235156	Zm00001eb205190	chr4	238629073	238638159																																																																									
umc1650	148.70		GRMZM2G121495	Chr4	230885162	230889587					Zm00001d053585	Chr4	235371631	235376042	Zm00001eb205200	chr4	238774267	238778694																																																																									
cyp78	148.72		GRMZM2G168404	Chr4	230935013	230937134					Zm00001d053586	Chr4	235421742	235423271	Zm00001eb205210	chr4	238824152	238826116																																																																									
pub58	148.76		GRMZM2G301512	Chr4	231020155	231024325					Zm00001d053587	Chr4	235506533	235510751	Zm00001eb205230	chr4	238909121	238919333																																																																									
umc1854	148.93																																																																																										
Zm00001d053589	148.96		GRMZM2G038195	Chr4	231094329	231107329					Zm00001d053589	Chr4	235580791	235593799	Zm00001eb205250	chr4	238983439	238996704																																																																									
umc1631	149.00		GRMZM2G022538	Chr4	231263846	231272754					Zm00001d053593	Chr4	235759774	235760235	Zm00001eb205270	chr4	239155793	239164082																																																																									
etr5	149.50		GRMZM2G318689	Chr4	231292279	231294802					Zm00001d053594	Chr4	235781411	235784209	Zm00001eb205280	chr4	239184101	239186963																																																																									
T4-9b(4)	150.00																																																																																										
rpd3	150.00		GRMZM2G172883	Chr4	231335846	231342828					Zm00001d053595	Chr4	235825666	235832657	Zm00001eb205290	chr4	239228373	239235512																																																																									
npi449b	150.40																																																																																										
mgs2	150.50		GRMZM2G080056	Chr4	231421874	231423870					Zm00001d053597	Chr4	235911860	235913945	Zm00001eb205310	chr4	239314652	239316654																																																																									
umc1820	150.60		GRMZM2G078862	Chr4	231469815	231471745					Zm00001d053599	Chr4	235959812	235961740	Zm00001eb205320	chr4	239362638	239364358																																																																									
asg22	150.83		GRMZM2G343139	Chr4	231571831	231581695					Zm00001d053603	Chr4	236105402	236116126	Zm00001eb205360	chr4	239517479	239519043																																																																									
nbcs13	151.00										Zm00001d053604	Chr4	236138479	236139918																																																																													
LOC100280000	151.32		GRMZM2G043056	Chr4	231769958	231776855					Zm00001d053610	Chr4	236302759	236309429	Zm00001eb205450	chr4	239705820	239712405																																																																									
mmp94	151.38		GRMZM2G003411	Chr4	231940939	231947595					Zm00001d053612	Chr4	236474079	236481803	Zm00001eb205480	chr4	239877758	239884774																																																																									
Zm00001d053613	151.40		GRMZM2G003377	Chr4	231949079	231952618					Zm00001d053613	Chr4	236483017	236493152	Zm00001eb205490	chr4	239885987	239896073																																																																									
IDP6952	151.80		GRMZM2G107362	Chr4	232013668	232019150					Zm00001d053616	Chr4	236545424	236550919	Zm00001eb205500	chr4	239948380	239953898																																																																									
brc1	152.00		GRMZM2G107322	Chr4	232045412	232047833					Zm00001d053617	Chr4	236577171	236580231	Zm00001eb205510	chr4	239979782	239983188																																																																									
pal18	152.23		GRMZM2G153871	Chr4	232233178	232235607					Zm00001d053619	Chr4	236769086	236771223	Zm00001eb205530	chr4	240172199	240173260																																																																									
AY109933	153.25		GRMZM2G078832	Chr4	232265095	232270083					Zm00001d053620	Chr4	236807529	236818076	Zm00001eb205540	chr4	240210432	240221206																																																																									
ms41	154.00																																																																																										
T2-4b(4)	154.00																																																																																										
zfp30	154.53		GRMZM2G116079	Chr4	232434818	232442130					Zm00001d053622	Chr4	236999463	237006338	Zm00001eb205550	chr4	240379665	240386656																																																																									
cl15732_1	154.60		GRMZM2G171520	Chr4	232503869	232513391					Zm00001d053624	Chr4	237051179	237059836	Zm00001eb205580	chr4	240431182	240440043																																																																									
uaz270(357)	154.70		GRMZM2G171452	Chr4	232536528	232538464					Zm00001d053625	Chr4	237083050	237084813	Zm00001eb205590	chr4	240463112	240465006																																																																									
spx5	154.80		GRMZM2G171423	Chr4	232562535	232564332					Zm00001d053626	Chr4	237108971	237110604	Zm00001eb205600	chr4	240489045	240490862																																																																									
cl347_1	154.90		AC209242.3_FG003	Chr4	232667842	232672100					Zm00001d053627	Chr4	237217927	237222627	Zm00001eb205610	chr4	240597915	240602715																																																																									
cl6524_1	154.92		GRMZM5G876003	Chr4	232677541	232695637					Zm00001d053628	Chr4	237227892	237245986	Zm00001eb205620	chr4	240607892	240626087																																																																									
rps8	155.00		GRMZM2G336875	Chr4	232843893	232846622					Zm00001d053630	Chr4	237401529	237403959	Zm00001eb205630	chr4	240781493	240784165																																																																									
prf8	155.01		GRMZM2G336886	Chr4	232846373	232849113					Zm00001d053631	Chr4	237406007	237408981	Zm00001eb205650	chr4	240787498	240789179																																																																									
LOC542341	155.03		GRMZM2G030228	Chr4	233048223	233050965					Zm00001d053633	Chr4	237652430	237654962	Zm00001eb205670	chr4	240988773	240991299																																																																									
Zm00001eb205720	155.07		GRMZM2G181237	Chr4	233340954	233344050					Zm00001d053637	Chr4	237948332	237953998	Zm00001eb205720	chr4	241285243	241288260																																																																									
pco141217	155.10		GRMZM2G180971	Chr4	233443115	233447190					Zm00001d053640	Chr4	238064255	238068266	Zm00001eb205760	chr4	241400612	241404672																																																																									
ebf4	155.12		GRMZM2G481452	Chr4	233469170	233473079					Zm00001d053642	Chr4	238091051	238094140	Zm00001eb205780	chr4	241427158	241430577																																																																									
ssp1	155.14		GRMZM2G090935	Chr4	233478819	233482558					Zm00001d053643	Chr4	238099957	238103666	Zm00001eb205790	chr4	241436312	241440076																																																																									
Zm00001d053648	155.14		GRMZM5G876160	Chr4	233538200	233543629					Zm00001d053648	Chr4	238153226	238159523	Zm00001eb205810	chr4	241489504	241495830																																																																									
IDP8408	155.15		GRMZM2G012340	Chr4	233623881	233625609					Zm00001d053652	Chr4	238238007	238241649	Zm00001eb205840	chr4	241576216	241577940																																																																									
GRMZM2G012393	155.15		GRMZM2G012393	Chr4	233606522	233609685					Zm00001d053650	Chr4	238222901	238224184	Zm00001eb205830	chr4	241558838	241561986																																																																									
cl9093_1	155.16		GRMZM2G311914	Chr4	233625874	233629139									Zm00001eb205850	chr4	241578197	241580141																																																																									
sbt10	155.17		GRMZM2G349586	Chr4	233642431	233644674					Zm00001d053655	Chr4	238257756	238259787	Zm00001eb205880	chr4	241593998	241596376																																																																									
IDP508	155.18														Zm00001eb205900	chr4	241674558	241675191																																																																									
cal5	155.25		GRMZM2G155822	Chr4	233743683	233747760					Zm00001d053659	Chr4	238361212	238365340	Zm00001eb205910	chr4	241697498	241701670																																																																									
rcc19	155.25		GRMZM2G030542	Chr4	233748676	233751583					Zm00001d053660	Chr4	238366195	238369060	Zm00001eb205920	chr4	241702439	241705469																																																																									
cls1	155.26		GRMZM2G029566	Chr4	233759489	233764651					Zm00001d053663	Chr4	238377007	238380691	Zm00001eb205930	chr4	241713304	241717763																																																																									
pgl15	155.27		GRMZM2G030265	Chr4	233763023	233764648					Zm00001d053662	Chr4	238375990	238382185	Zm00001eb205940	chr4	241716642	241718579																																																																									
zip9	155.28		GRMZM2G050484	Chr4	233803555	233809152					Zm00001d053665	Chr4	238450073	238455388	Zm00001eb205960	chr4	241786312	241792001																																																																									
dnaj133	155.29		GRMZM2G075485	Chr4	233866450	233870093					Zm00001d053667	Chr4	238496402	238499951	Zm00001eb205970	chr4	241832549	241836640																																																																									
znf11	155.30		GRMZM2G058866	Chr4	233973841	233975067					Zm00001d053671	Chr4	238612589	238613017	Zm00001eb205990	chr4	241947605	241949466																																																																									
cl31389_1	155.31		GRMZM2G058739	Chr4	233975827	233979041					Zm00001d053672	Chr4	238614444	238621452	Zm00001eb206020	chr4	241955805	241957435																																																																									
IDP7705	155.50		GRMZM2G417658	Chr4	234059064	234081809					Zm00001d053674	Chr4	238699493	238722387	Zm00001eb206030	chr4	242035476	242058527																																																																									
lox10	155.70		GRMZM2G015419	Chr4	234164919	234168681					Zm00001d053675	Chr4	238805319	238809230	Zm00001eb206040	chr4	242141186	242145267																																																																									
LOC109939371	155.71		GRMZM2G072616	Chr4	234249468	234262343					Zm00001d053678	Chr4	238898500	238900342																																																																													
c3h38	155.72		GRMZM2G056920	Chr4	234301708	234304462					Zm00001d053682	Chr4	238942996	238945802	Zm00001eb206080	chr4	242279031	242281837																																																																									
cts3	155.75		GRMZM2G063909	Chr4	234339416	234350470					Zm00001d053684	Chr4	238977831	238989000	Zm00001eb206090	chr4	242313815	242325097																																																																									
cts2	155.80		GRMZM2G064023	Chr4	234360280	234367429					Zm00001d053685	Chr4	239005570	239012726	Zm00001eb206100	chr4	242341624	242348684																																																																									
cl14140_1	155.84		GRMZM2G064268	Chr4	234384006	234387440					Zm00001d053686	Chr4	239029245	239032219	Zm00001eb206110	chr4	242365322	242368740																																																																									
mybr88	155.86		GRMZM2G064328	Chr4	234391361	234395800					Zm00001d053687	Chr4	239036651	239041066	Zm00001eb206120	chr4	242372606	242377110																																																																									
Zm00001d053695	156.98		GRMZM2G026151	Chr4	234531366	234533650					Zm00001d053695	Chr4	239190056	239192283	Zm00001eb206220	chr4	242526104	242528483																																																																									
pco115279b	157.00		GRMZM2G105631	Chr4	234652177	234659350					Zm00001d053696	Chr4	239308529	239315649	Zm00001eb206230	chr4	242644403	242652077																																																																									
Zm00001d053701	157.90		AC210010.4_FG008	Chr4	234885108	234886922					Zm00001d053701	Chr4	239543864	239546937	Zm00001eb206280	chr4	242880845	242882018																																																																									
mbd116	158.00																																																																																										
phd39	158.00		GRMZM2G385338	Chr4	234727096	234739242					Zm00001d053697	Chr4	239382347	239406395	Zm00001eb206240	chr4	242718475	242743377																																																																									
cl8266_1	158.02		GRMZM2G040320	Chr4	234867575	234878958					Zm00001d053698	Chr4	239526556	239537752	Zm00001eb206250	chr4	242862656	242873833																																																																									
ring287	158.15		GRMZM2G336761	Chr4	234939215	234943509					Zm00001d053704	Chr4	239601161	239602231	Zm00001eb206330	chr4	242934552	242938586																																																																									
cl11916_1b	158.22		GRMZM2G040094	Chr4	234892783	234897781					Zm00001d053702	Chr4	239551734	239557534	Zm00001eb206300	chr4	242887809	242893790																																																																									
bzip50	158.26		GRMZM2G336766	Chr4	234937825	234938696					Zm00001d053703	Chr4	239596872	239597402	Zm00001eb206320	chr4	242932921	242933790																																																																									
umc2137	158.30		GRMZM2G039848	Chr4	234943838	234946791					Zm00001d053705	Chr4	239603849	239605741	Zm00001eb206340	chr4	242939447	242941633																																																																									
IDP7571	158.40		GRMZM2G146034	Chr4	234960381	234968504					Zm00001d053706	Chr4	239617826	239627509	Zm00001eb206350	chr4	242953844	242963739																																																																									
ereb8	158.50		GRMZM2G146028	Chr4	234986414	234987698					Zm00001d053707	Chr4	239645670	239646296	Zm00001eb206360	chr4	242981585	242982840																																																																									
umc2382	158.52		GRMZM2G145996	Chr4	235005527	235008132					Zm00001d053709	Chr4	239664547	239667110	Zm00001eb206370	chr4	243000701	243003264																																																																									
Zm00001d053713	158.53		GRMZM2G145962	Chr4	235038350	235040547					Zm00001d053713	Chr4	239697573	239699575	Zm00001eb206380	chr4	243033880	243035664																																																																									
miR171a	158.55		zma-MIR171a	Chr4	235054361	235054459					zma-MIR171a	Chr4	239713555	239713653																																																																													
GRMZM2G304712	158.57		GRMZM2G304712	Chr4	235105068	235107110					Zm00001d053715	Chr4	239764267	239765769	Zm00001eb206400	chr4	243100226	243107731																																																																									
gpx9	158.60		GRMZM2G103382	Chr4	235141256	235145807					Zm00001d053717	Chr4	239794779	239804059	Zm00001eb206420	chr4	243107978	243139972																																																																									
thx11	158.80		GRMZM2G000964	Chr4	235154285	235161789					Zm00001d053718	Chr4	239807329	239820801	Zm00001eb206430	chr4	243143358	243157062																																																																									
IDP5032	158.82		GRMZM2G000976	Chr4	235163308	235167006					Zm00001d053719	Chr4	239822270	239826055	Zm00001eb206440	chr4	243158387	243162178																																																																									
IDP8341	158.85		GRMZM2G073059	Chr4	235190448	235194055					Zm00001d053722	Chr4	239849713	239853306	Zm00001eb206470	chr4	243185790	243189565																																																																									
Zm00001d053723	158.86		AC200482.3_FG007	Chr4	235214338	235215143					Zm00001d053723	Chr4	239873472	239874428																																																																													
Zm00001d053724	158.88		GRMZM2G125345	Chr4	235221157	235223107					Zm00001d053724	Chr4	239880295	239882266	Zm00001eb206480	chr4	243216325	243218622																																																																									
bark1	158.89		GRMZM2G125308	Chr4	235227366	235229514					Zm00001d053725	Chr4	239886491	239899381	Zm00001eb206490	chr4	243222650	243224809																																																																									
LOC103654862	158.90		GRMZM2G104419	Chr4	235260670	235267150					Zm00001d053727	Chr4	239922850	239929510	Zm00001eb206510	chr4	243259098	243265728																																																																									
Zm00001d053726	158.90		GRMZM2G104357	Chr4	235251496	235254589					Zm00001d053726	Chr4	239913835	239917002	Zm00001eb206500	chr4	243249890	243253195																																																																									
Zm00001d053729	158.93		GRMZM2G405022	Chr4	235330065	235330502					Zm00001d053729	Chr4	240003935	240004372	Zm00001eb206530	chr4	243339950	243340802																																																																									
Zm00001d053731	158.94		GRMZM2G363447	Chr4	235358231	235364081					Zm00001d053731	Chr4	240024809	240026803	Zm00001eb206550	chr4	243361208	243362644																																																																									
csu631	158.95		GRMZM2G143462	Chr4	235441460	235448627					Zm00001d053738	Chr4	240108049	240115362	Zm00001eb206650	chr4	243444302	243451491																																																																									
si945006c11a	158.97		GRMZM2G143460	Chr4	235451687	235454316					Zm00001d053739	Chr4	240117939	240121912	Zm00001eb206660	chr4	243454037	243458036																																																																									
atg11a	159.00		GRMZM2G143445	Chr4	235491209	235496287					Zm00001d053741	Chr4	240158918	240164128	Zm00001eb206680	chr4	243495055	243500247																																																																									
hagtf44	159.36		GRMZM2G312985	Chr4	235655162	235656015					Zm00001d053745	Chr4	240323371	240325123	Zm00001eb206720	chr4	243659552	243661522																																																																									
wrky128	159.38		GRMZM2G036711	Chr4	235658048	235659604					Zm00001d053746	Chr4	240330758	240332367	Zm00001eb206730	chr4	243666888	243668382																																																																									
cl14668_1	159.40		GRMZM2G037185	Chr4	235703052	235706239					Zm00001d053747	Chr4	240384798	240389879	Zm00001eb206740	chr4	243720920	243725994																																																																									
knox7	160.00		GRMZM2G433591	Chr4	235745133	235750283					Zm00001d053749	Chr4	240414100	240417560	Zm00001eb206760	chr4	243750177	243753727																																																																									
Zm00001d053751	160.98		GRMZM2G133746	Chr4	235755366	235760128					Zm00001d053751	Chr4	240442253	240456485	Zm00001eb206790	chr4	243775564	243792639																																																																									
cbp2	161.00		GRMZM2G018837	Chr4	235806854	235815316					Zm00001d053753	Chr4	240492305	240500796	Zm00001eb206800	chr4	243828287	243836904																																																																									
fla11	161.07		AC184130.4_FG005	Chr4	235835572	235836465					Zm00001d053755	Chr4	240520318	240521211	Zm00001eb206820	chr4	243856317	243857393																																																																									
sbp2	161.08		GRMZM2G168229	Chr4	235838405	235842060					Zm00001d053756	Chr4	240523216	240526731	Zm00001eb206830	chr4	243859192	243862929																																																																									
bnlg1565	161.43																																																																																										
LOC100192621	161.92		GRMZM2G124254	Chr4	235939225	235943492					Zm00001d053762	Chr4	240649680	240653939	Zm00001eb206900	chr4	243985788	243990089																																																																									
gtf20	161.94		GRMZM2G124151	Chr4	235944132	235953349					Zm00001d053763	Chr4	240654631	240663764	Zm00001eb206910	chr4	243990695	243999935																																																																									
vpp3	162.00		GRMZM2G421857	Chr4	235983602	235992984					Zm00001d053765	Chr4	240696980	240703366	Zm00001eb206930	chr4	244033000	244039523																																																																									
nrg11	162.02		GRMZM2G339909	Chr4	235996801	235998958					Zm00001d053766	Chr4	240707119	240709383	Zm00001eb206940	chr4	244043231	244045806																																																																									
Zm00001eb206980	162.34		GRMZM2G353659	Chr4	236090934	236093196					Zm00001d053769	Chr4	240798266	240800858	Zm00001eb206980	chr4	244134453	244137095																																																																									
sbp19	162.40		GRMZM2G163813	Chr4	236142134	236146366					Zm00001d053775	Chr4	240849637	240853547	Zm00001eb207010	chr4	244152554	244189700																																																																									
GRMZM2G052902	162.42		GRMZM2G052902	Chr4	236113485	236116490					Zm00001d053772	Chr4	240821769	240823832	Zm00001eb207020	chr4	244157265	244160235																																																																									
aldh15	162.50		GRMZM2G119482	Chr4	236150581	236167349					Zm00001d053776	Chr4	240858680	240875478	Zm00001eb207050	chr4	244192011	244211715																																																																									
pco141112	162.90		GRMZM2G003988	Chr4	236227363	236231112					Zm00001d053778	Chr4	240939248	240942799	Zm00001eb207060	chr4	244275413	244279041																																																																									
vq25	162.92		GRMZM2G010333	Chr4	236263370	236263969					Zm00001d053781	Chr4	240975305	240975880																																																																													
cyp15	162.93		GRMZM2G010221	Chr4	236268174	236272709					Zm00001d053782	Chr4	240980104	240984661	Zm00001eb207080	chr4	244316238	244320989																																																																									
hma11	163.10		GRMZM2G010152	Chr4	236277989	236283316					Zm00001d053783	Chr4	240989903	240995095	Zm00001eb207090	chr4	244325976	244331353																																																																									
Zm00001d053784	163.12		GRMZM2G010097	Chr4	236286213	236287102					Zm00001d053784	Chr4	240998127	240999016	Zm00001eb207100	chr4	244334443	244335195																																																																									
