MaizeGDB: Details of Map Genetic 1
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
proh3	236.69		GRMZM2G348578	Chr1	279479453	279483540					Zm00001d034124	Chr1	284539992	284543955	Zm00001eb058220	chr1	286227483	286231599																	
cka2	237.00		GRMZM2G047855	Chr1	279484878	279490883					Zm00001d034125	Chr1	284545422	284551392	Zm00001eb058230	chr1	286232968	286238911																	
Zm00001d034126	237.02		GRMZM2G047759	Chr1	279541708	279543303					Zm00001d034126	Chr1	284602370	284604006	Zm00001eb058240	chr1	286289895	286291501																	
prx3	237.28		GRMZM2G047656	Chr1	279625484	279627333					Zm00001d034128	Chr1	284686236	284687788	Zm00001eb058250	chr1	286373719	286374243																	
prx2	237.30		GRMZM5G892081	Chr1	279632430	279634395					Zm00001d034129	Chr1	284692621	284695285	Zm00001eb058260	chr1	286380116	286382781																	
cka5	237.42		GRMZM2G154799	Chr1	279742698	279744047					Zm00001d034137	Chr1	284854743	284866468	Zm00001eb058320	chr1	286542140	286553983																	
LOC100276798	237.44		GRMZM2G307252	Chr1	279748502	279753240					Zm00001d034139	Chr1	284867580	284872240	Zm00001eb058330	chr1	286554859	286559967																	
hagtf6	237.50		GRMZM2G099305	Chr1	279963848	279966746					Zm00001d034143	Chr1	285008208	285010916	Zm00001eb058360	chr1	286695758	286698656																	
lim39	237.55																																		
cl32957_1a	237.58		GRMZM2G496350	Chr1	279991142	279991809					Zm00001d034148	Chr1	285033162	285036599	Zm00001eb058380	chr1	286720572	286721295																	
TIDP3413	237.58		GRMZM2G400714	Chr1	279979292	279981056					Zm00001d034145	Chr1	285024081	285024917	Zm00001eb058370	chr1	286711219	286712770																	
glk44	237.59		GRMZM2G124540	Chr1	280284828	280286869					Zm00001d034160	Chr1	285335178	285337132	Zm00001eb058460	chr1	287022469	287024866																	
mkkk9	237.59		GRMZM2G156800	Chr1	280154384	280164446					Zm00001d034152	Chr1	285204560	285214160	Zm00001eb058410	chr1	286892033	286901826																	
Zm00001eb058450	237.59		GRMZM5G886709	Chr1	280263211	280272008					Zm00001d034159	Chr1	285318804	285326358	Zm00001eb058450	chr1	287001058	287014028																	
snrkII8	237.60		GRMZM2G138861	Chr1	280356771	280364881					Zm00001d034161	Chr1	285417447	285425538	Zm00001eb058470	chr1	287105035	287113161																	
dof25	237.62		GRMZM2G108865	Chr1	280409564	280411218					Zm00001d034163	Chr1	285470390	285471475	Zm00001eb058480	chr1	287157640	287159294																	
LOC103644061	237.63		GRMZM2G107689	Chr1	280559358	280566360					Zm00001d034166	Chr1	285629981	285647284	Zm00001eb058490	chr1	287273059	287334918																	
LOC103644058	237.63		GRMZM2G174638	Chr1	280591765	280593554					Zm00001d034166	Chr1	285629981	285647284	Zm00001eb058490	chr1	287273059	287334918																	
TIDP3715	237.65		GRMZM2G009958	Chr1	280647333	280649595					Zm00001d034175	Chr1	285707107	285709046	Zm00001eb058550	chr1	287394673	287396793																	
LOC100273830	237.73		GRMZM2G164493	Chr1	280774456	280779161					Zm00001d034180	Chr1	285813436	285817967	Zm00001eb058600	chr1	287500876	287505581																	
IDP2395	237.75		GRMZM6G039492	Chr1	280817099	280844987					Zm00001d034181	Chr1	285863974	285871788	Zm00001eb058610	chr1	287551488	287559426																	
bnl7.25a	237.80																																		
aos4	237.80		GRMZM2G072653	Chr1	280908391	280910737					Zm00001d034184	Chr1	285946538	285948088	Zm00001eb058640	chr1	287633973	287635686																	
aos3	237.82		GRMZM2G376661	Chr1	280918468	280920450					Zm00001d034186	Chr1	285956186	285957745	Zm00001eb058670	chr1	287643404	287645453																	
gpm455	237.85		GRMZM2G040030	Chr1	281042229	281045163					Zm00001d034188	Chr1	286077537	286080394	Zm00001eb058700	chr1	287765160	287766650																	
caspl6	237.87		GRMZM2G039978	Chr1	281045696	281048411					Zm00001d034189	Chr1	286080950	286082217	Zm00001eb058720	chr1	287768871	287770529																	
lem1	237.90		AC234157.1_FG002	Chr1	281175269	281177006					Zm00001d034192	Chr1	286208841	286210899	Zm00001eb058750	chr1	287896388	287898544																	
traf49	237.92		GRMZM2G085189	Chr1	281230842	281234525					Zm00001d034194	Chr1	286263995	286267822	Zm00001eb058760	chr1	287951587	287955493																	
LOC100282259	237.93		GRMZM2G407626	Chr1	281235735	281237080					Zm00001d034195	Chr1	286269420	286269977	Zm00001eb058770	chr1	287956701	287957672																	
ccs1	237.95		GRMZM2G038301	Chr1	281272122	281275134					Zm00001d034196	Chr1	286308027	286310892	Zm00001eb058790	chr1	287995564	287998538																	
bzip26	238.00		GRMZM2G177046	Chr1	281401644	281402596					Zm00001d034199	Chr1	286425311	286425868	Zm00001eb058820	chr1	288112807	288113730																	
ereb184	238.20		GRMZM2G028151	Chr1	281700006	281703981					Zm00001d034204	Chr1	286726372	286730435	Zm00001eb058850	chr1	288413629	288417775																	
GRMZM2G028286	238.22		GRMZM2G028286	Chr1	281712274	281716146					Zm00001d034205	Chr1	286738442	286742476	Zm00001eb058860	chr1	288425317	288429948																	
myb179	238.26		GRMZM2G176876	Chr1	281776546	281777223					Zm00001d034207	Chr1	286820094	286821828	Zm00001eb058880	chr1	288506872	288509069																	
myb18	238.30		GRMZM2G356718	Chr1	281831441	281837582					Zm00001d034211	Chr1	286858191	286860122	Zm00001eb058920	chr1	288542721	288551206																	
hb8	238.34		GRMZM2G135447	Chr1	281887974	281894959					Zm00001d034212	Chr1	286887707	286896784	Zm00001eb058930	chr1	288574816	288583883																	
Zm00001d034214	238.35		GRMZM2G177473	Chr1	281916429	281918028					Zm00001d034214	Chr1	286962897	286963537																					
IDP292a	238.36		GRMZM2G475948	Chr1	281932424	281934750					Zm00001d034217	Chr1	286978889	286980925	Zm00001eb058940	chr1	288661070	288668582																	
NP_001142528.2	238.38		GRMZM2G177432	Chr1	281951791	281952644					Zm00001d034218	Chr1	286998066	287000890	Zm00001eb058950	chr1	288685426	288686212																	
magi7806	238.50		GRMZM2G165619	Chr1	282019306	282021102					Zm00001d034223	Chr1	287064657	287066369	Zm00001eb058980	chr1	288752301	288753660																	
LOC103645645	238.52		GRMZM2G009588	Chr1	282073547	282091571					Zm00001d034224	Chr1	287118686	287119763																					
wpk1	238.68		AC235547.1_FG005	Chr1	282473696	282477456					Zm00001d034237	Chr1	287533482	287537732	Zm00001eb059030	chr1	289220034	289225083																	
IDP2450	238.70		GRMZM5G837018	Chr1	282529941	282539440					Zm00001d034239	Chr1	287588788	287596595	Zm00001eb059040	chr1	289275840	289285660																	
Zm00001d034240	238.72		GRMZM2G072569	Chr1	282595023	282599365					Zm00001d034240	Chr1	287654011	287658261	Zm00001eb059050	chr1	289341304	289345645																	
mdh12	238.76		GRMZM2G072744	Chr1	282605048	282608688					Zm00001d034241	Chr1	287663868	287667586	Zm00001eb059070	chr1	289351332	289354969																	
GRMZM2G072806	238.80		GRMZM2G072806	Chr1	282616817	282619993					Zm00001d034244	Chr1	287675715	287678872	Zm00001eb059090	chr1	289363136	289366273																	
GRMZM2G122139	238.82		GRMZM2G122139	Chr1	282735519	282752902					Zm00001d034245	Chr1	287796251	287813669	Zm00001eb059100	chr1	289483625	289502480																	
pza02957	239.00		GRMZM2G068028	Chr1	282860846	282864657					Zm00001d034251	Chr1	287921614	287925375	Zm00001eb059170	chr1	289608914	289612834																	
GRMZM2G067964	239.50		GRMZM2G067964	Chr1	282939188	282940987					Zm00001d034252	Chr1	288000006	288001701	Zm00001eb059180	chr1	289687431	289689048																	
emp18	240.00		GRMZM2G471348	Chr1	282961761	282964815					Zm00001d034253	Chr1	288021954	288024917	Zm00001eb059190	chr1	289709341	289711710																	
umc2695	240.40		GRMZM5G838226	Chr1	282970648	282971311					Zm00001d034255	Chr1	288030585	288033778	Zm00001eb059220	chr1	289717969	289721243																	
phi1	240.50		GRMZM6G477257	Chr1	283154011	283156503					Zm00001d034256	Chr1	288168990	288176921	Zm00001eb059230	chr1	289856108	289864076																	
perk4	240.52		GRMZM2G065214	Chr1	283159546	283162339					Zm00001d034257	Chr1	288177000	288179853	Zm00001eb059240	chr1	289863708	289867169																	
umc161a	240.90		GRMZM2G472827	Chr1	283258252	283262785					Zm00001d034263	Chr1	288275261	288289725	Zm00001eb059270	chr1	289957537	289976913																	
nactf7	240.93		GRMZM2G163251	Chr1	283321395	283323293					Zm00001d034277	Chr1	288351666	288353564	Zm00001eb059350	chr1	290038876	290040791																	
Zm00001d034278	240.94		GRMZM2G463726	Chr1	283324201	283327827					Zm00001d034278	Chr1	288354743	288358020	Zm00001eb059360	chr1	290041948	290045329																	
farl2	240.95		GRMZM2G463730	Chr1	283389452	283396343					Zm00001d034282	Chr1	288419713	288426810																					
Zm00001eb059380	240.98		GRMZM2G017290	Chr1	283501470	283502945					Zm00001d034283	Chr1	288457795	288458472	Zm00001eb059380	chr1	290144348	290145840																	
XLOC_007712	241.00		GRMZM2G392026	Chr1	283428911	283429553					Zm00001d023000	Chr1	288491683	288492325	Zm00001eb059390	chr1	290179291	290180000																	
me13	241.04		GRMZM2G461332	Chr1	283525945	283527796					Zm00001d034292	Chr1	288572505	288573329	Zm00001eb059410	chr1	290259636	290260669																	
miR160d	241.48		zma-MIR160d	Chr1	283652400	283652541					zma-MIR160d	Chr1	288700634	288700775																					
bhlh47	241.50		GRMZM2G065374	Chr1	283670986	283676031					Zm00001d034298	Chr1	288721311	288725239	Zm00001eb059460	chr1	290408132	290412723																	
IDP823	241.60																																		
magi93868	241.70														Zm00001eb059540	chr1	290651952	290652869																	
cl35478_1b	241.80		GRMZM2G038494	Chr1	284075744	284078940					Zm00001d034318	Chr1	289124405	289127722	Zm00001eb059620	chr1	290800555	290804269																	
pza00978	241.82		GRMZM2G038964	Chr1	284081140	284083876					Zm00001d034319	Chr1	289129916	289132811	Zm00001eb059630	chr1	290806285	290809176																	
cl34483_1b	241.86		GRMZM2G069772	Chr1	284129700	284134004					Zm00001d034320	Chr1	289178554	289182576	Zm00001eb059650	chr1	290854842	290859135																	
adf9	241.90		GRMZM2G108807	Chr1	284287442	284288880					Zm00001d034326	Chr1	289335287	289336551	Zm00001eb059710	chr1	291011670	291012909																	
prpo4	241.93		GRMZM2G058261	Chr1	285139941	285142972					Zm00001d034338	Chr1	290204343	290207367	Zm00001eb059780	chr1	291860588	291863626																	
GRMZM2G058496	241.94		GRMZM2G058496	Chr1	285179951	285183824					Zm00001d034341	Chr1	290244340	290248219	Zm00001eb059810	chr1	291900497	291904498																	
pco067414	241.96		GRMZM2G058584	Chr1	285195800	285200581					Zm00001d034343	Chr1	290260179	290264937	Zm00001eb059830	chr1	291916365	291921233																	
si614046b09a	241.98		GRMZM2G058734	Chr1	285203049	285207065					Zm00001d034344	Chr1	290267452	290271772	Zm00001eb059840	chr1	291923706	291928204																	
fnr1	242.00		GRMZM2G058760	Chr1	285208091	285211692					Zm00001d034345	Chr1	290272584	290276056	Zm00001eb059850	chr1	291928748	291932349																	
si614031b07a	242.00		GRMZM2G342044	Chr1	285276664	285279672					Zm00001d023009	Chr1	290341028	290343873	Zm00001eb059880	chr1	291997543	291998211																	
pco113424	242.00		GRMZM2G058872	Chr1	285215129	285218255					Zm00001d034346	Chr1	290279668	290282656	Zm00001eb059860	chr1	291935871	291940114																	
tcptf5	242.00		GRMZM2G115516	Chr1	285381000	285385544					Zm00001d034353	Chr1	290438168	290439328	Zm00001eb059920	chr1	292097187	292102095																	
LOC100273403	242.00		GRMZM2G039906	Chr1	285290213	285300480					Zm00001d034351	Chr1	290354479	290364728	Zm00001eb059910	chr1	292010396	292021529																	
gst5	242.02		GRMZM2G308687	Chr1	285410265	285411865					Zm00001d034356	Chr1	290470998	290471672	Zm00001eb059930	chr1	292130635	292131817																	
pco138129	242.08		GRMZM2G395354	Chr1	285591150	285593822					Zm00001d034358	Chr1	290659743	290663205	Zm00001eb059960	chr1	292319399	292322985																	
Zm00001eb059970	242.09		GRMZM5G888196	Chr1	285598874	285600310					Zm00001d034359	Chr1	290668538	290669359	Zm00001eb059970	chr1	292327912	292329375																	
umc1500	242.10		GRMZM2G069218	Chr1	285603499	285608445					Zm00001d034360	Chr1	290672852	290677815	Zm00001eb059980	chr1	292332508	292337514																	
pco104930	242.12		GRMZM2G704093	Chr1	285707027	285718416					Zm00001d034361	Chr1	290780826	290793772	Zm00001eb059990	chr1	292440476	292453404																	
AY109834	242.50																																		
si707002g02	242.68		GRMZM2G116126	Chr1	285838519	285854594					Zm00001d034364	Chr1	290898978	290914568	Zm00001eb060010	chr1	292558678	292574861																	
Zm00001d034365	242.70		GRMZM2G414540	Chr1	285855401	285856824					Zm00001d034365	Chr1	290916309	290917229	Zm00001eb060020	chr1	292575508	292577204																	
iqd6	243.20		GRMZM2G433557	Chr1	285881073	285887118					Zm00001d034366	Chr1	290941602	290947822	Zm00001eb060040	chr1	292601332	292607495																	
cdj1	243.25		GRMZM2G134917	Chr1	285992073	285995271					Zm00001d034368	Chr1	291055449	291058538	Zm00001eb060050	chr1	292715146	292718283																	
phi265454	243.25										Zm00001d034370	Chr1	291065525	291075328	Zm00001eb060070	chr1	292725213	292733317																	
ring81	243.25		GRMZM2G135011	Chr1	285998190	285999209					Zm00001d034369	Chr1	291061602	291062198	Zm00001eb060060	chr1	292721100	292722230																	
GRMZM2G329300	243.29		GRMZM2G329300	Chr1	286034596	286043648					Zm00001d034371	Chr1	291096651	291105612	Zm00001eb060090	chr1	292756444	292765394																	
cdpk50	243.36		GRMZM2G028926	Chr1	286045267	286049339					Zm00001d034372	Chr1	291107391	291111360	Zm00001eb060110	chr1	292766953	292771109																	
fla2	243.40		GRMZM2G329181	Chr1	286049789	286052959					Zm00001d034373	Chr1	291111822	291114965	Zm00001eb060130	chr1	292771556	292774980																	
cdpk42	243.60		GRMZM2G121228	Chr1	286192566	286196885					Zm00001d034376	Chr1	291271345	291275804	Zm00001eb060140	chr1	292931067	292935623																	
vq11	243.80		GRMZM2G174210	Chr1	286252973	286253722					Zm00001d034379	Chr1	291348794	291349309	Zm00001eb060160	chr1	293008435	293009032																	
pco118188	243.82		GRMZM2G174136	Chr1	286242620	286246088					Zm00001d034380	Chr1	291356414	291359823	Zm00001eb060170	chr1	293016137	293019515																	
GRMZM2G035890	243.90		GRMZM2G035890	Chr1	286311516	286313580					Zm00001d034382	Chr1	291401832	291403841	Zm00001eb060190	chr1	293061567	293063631																	
vp8	244.00		GRMZM2G010353	Chr1	286390345	286398537					Zm00001d034383	Chr1	291472441	291480873	Zm00001eb060200	chr1	293132287	293140817																	
lbd13	244.20		GRMZM2G011385	Chr1	286409470	286410127					Zm00001d034384	Chr1	291492379	291492970	Zm00001eb060210	chr1	293152247	293152838																	
ao3	244.30		GRMZM2G019799	Chr1	286429198	286437131					Zm00001d034385	Chr1	291510737	291518900	Zm00001eb060220	chr1	293170420	293178920																	
gata23	244.50		GRMZM2G110295	Chr1	286470199	286472456					Zm00001d034386	Chr1	291553608	291555291	Zm00001eb060230	chr1	293213234	293215239																	
ao1	244.70		GRMZM2G141535	Chr1	286519501	286527285					Zm00001d034387	Chr1	291605273	291613251	Zm00001eb060250	chr1	293264438	293272492																	
ao4	245.00		GRMZM2G141473	Chr1	286577038	286584000					Zm00001d034388	Chr1	291662839	291670088	Zm00001eb060260	chr1	293321913	293329335																	
sap2	245.02	1.11	GRMZM2G141460	Chr1	286600015	286600592					Zm00001d034389	Chr1	291685815	291686300	Zm00001eb060270	chr1	293345062	293345547																	
mab18	246.08		GRMZM2G060765	Chr1	286737004	286741315					Zm00001d034400	Chr1	291832067	291835875	Zm00001eb060340	chr1	293490978	293495297																	
cdo87b(ptk)	246.10		GRMZM2G049547	Chr1	286777847	286784318					Zm00001d034401	Chr1	291862046	291868576	Zm00001eb060350	chr1	293521345	293527917																	
lrx10	246.12										Zm00001d034402	Chr1	292031928	292032921	Zm00001eb060370	chr1	293657000	293657638																	
TIDP3172	246.20		GRMZM2G120674	Chr1	286916335	286921502					Zm00001d034404	Chr1	292037126	292041508	Zm00001eb060380	chr1	293661715	293666141																	
mmp195g	246.30		GRMZM2G120657	Chr1	286920861	286924957					Zm00001d034405	Chr1	292041509	292045751	Zm00001eb060390	chr1	293666129	293670571																	
magi24643	246.31		GRMZM2G120596	Chr1	286928924	286935504					Zm00001d034406	Chr1	292049250	292053087	Zm00001eb060410	chr1	293674152	293677819																	
cl8889_1	246.40		GRMZM5G856966	Chr1	287047071	287051325					Zm00001d034409	Chr1	292162214	292166452	Zm00001eb060430	chr1	293786554	293790915																	
umc1553	246.50		GRMZM2G371210	Chr1	287054286	287062461					Zm00001d034410	Chr1	292172345	292176235	Zm00001eb060440	chr1	293796050	293800761																	
glb2	246.80		GRMZM2G026703	Chr1	287133859	287135934					Zm00001d034413	Chr1	292247305	292249329	Zm00001eb060460	chr1	293871677	293873711																	
plt36	246.83		GRMZM2G006047	Chr1	287181576	287182811					Zm00001d034414	Chr1	292295756	292296877	Zm00001eb060470	chr1	293920016	293921382																	
plt5	248.00		GRMZM2G005991	Chr1	287217033	287218320					Zm00001d034415	Chr1	292331208	292332482	Zm00001eb060480	chr1	293955481	293956846																	
plt37	248.02		GRMZM2G065640	Chr1	287258983	287259911					Zm00001d034416	Chr1	292376378	292377306	Zm00001eb060490	chr1	294000642	294002329																	
hagtf7	250.00		GRMZM2G031062	Chr1	287272867	287273796					Zm00001d034417	Chr1	292390330	292390911	Zm00001eb060500	chr1	294014625	294015614																	
hagtf8	250.10		GRMZM2G342856	Chr1	287341950	287342703					Zm00001d034418	Chr1	292463721	292464302	Zm00001eb060510	chr1	294087901	294088976																	
hagtf9	250.20		GRMZM2G478798	Chr1	287360790	287362436					Zm00001d034419	Chr1	292476450	292477004	Zm00001eb060530	chr1	294100691	294102103																	
Zm00001eb060540	250.22		GRMZM2G478779	Chr1	287371113	287376243					Zm00001d034421	Chr1	292486760	292492680	Zm00001eb060540	chr1	294111659	294113718																	
rd1	250.49																																		
gdh1	251.00		GRMZM2G178415	Chr1	287360596	287367735					Zm00001d034420	Chr1	292477033	292483300	Zm00001eb060520	chr1	294100601	294107940																	
npi238	251.53																																		
Zm00001d034422	251.58		GRMZM2G178341	Chr1	287405123	287407517					Zm00001d034422	Chr1	292520815	292523078	Zm00001eb060550	chr1	294145228	294147493																	
pco108608a	251.60		GRMZM2G073511	Chr1	287559278	287563910					Zm00001d034423	Chr1	292612409	292617099	Zm00001eb060560	chr1	294236774	294241493																	
pco142974	251.64		GRMZM2G073429	Chr1	287545069	287550336					Zm00001d034424	Chr1	292625000	292631329	Zm00001eb060580	chr1	294249573	294255671																	
jpsb239b	251.65																																		
pco099903	251.68		GRMZM2G070322	Chr1	287653694	287655495					Zm00001d034427	Chr1	292764825	292765994	Zm00001eb060610	chr1	294388871	294390551																	
ppr78	251.70		GRMZM2G070381	Chr1	287665005	287667939					Zm00001d034428	Chr1	292776051	292778219	Zm00001eb060630	chr1	294400053	294402918																	
hsftf11	251.95		GRMZM2G132971	Chr1	287786016	287790222					Zm00001d034433	Chr1	292905093	292912832	Zm00001eb060670	chr1	294524463	294528669																	
pza03305	251.97																																		
miR167d	251.97		zma-MIR167d	Chr1	287799562	287799694					zma-MIR167d	Chr1	292918639	292918771																					
Zm00001d034440	252.49		GRMZM2G068952	Chr1	287889161	287892109					Zm00001d034440	Chr1	293008179	293011116																					
umc1421	252.55		GRMZM2G078200	Chr1	287959555	287963914					Zm00001d034443	Chr1	293098082	293102502	Zm00001eb060760	chr1	294717452	294721872																	
ring82	252.66		GRMZM2G141244	Chr1	288083683	288086060					Zm00001d034445	Chr1	293223130	293225388	Zm00001eb060790	chr1	294842043	294844725																	
bzip41	252.70		GRMZM2G019446	Chr1	288150005	288174446					Zm00001d034448	Chr1	293311185	293313786	Zm00001eb060810	chr1	294909166	294933105																	
Zm00001d034452	252.74		GRMZM2G015436	Chr1	288236186	288241749					Zm00001d034452	Chr1	293402750	293408353	Zm00001eb060830	chr1	294995767	295000901																	
Zm00001d034453	252.76		GRMZM2G015892	Chr1	288257077	288259234					Zm00001d034453	Chr1	293423687	293425838	Zm00001eb060840	chr1	295016272	295018425																	
Zm00001d034455	252.78										Zm00001d034455	Chr1	293445011	293448326	Zm00001eb060860	chr1	295037654	295042431																	
igl1	253.73		GRMZM2G046191	Chr1	288331936	288337173					Zm00001d034460	Chr1	293615920	293621281	Zm00001eb060880	chr1	295091374	295096297																	
tsah1	253.73		GRMZM2G046163	Chr1	288338457	288340582					Zm00001d034461	Chr1	293622653	293624784	Zm00001eb060890	chr1	295097675	295100020																	
LOC109939199	253.74										Zm00001d034456	Chr1	293558154	293562725	Zm00001eb060900	chr1	295153683	295155361																	
ohp1	253.75		GRMZM2G016150	Chr1	288278441	288283216					Zm00001d034457	Chr1	293562779	293567510	Zm00001eb060910	chr1	295155782	295160678																	
iaa5	254.78		GRMZM5G809195	Chr1	288465742	288467255					Zm00001d034463	Chr1	293749001	293752408	Zm00001eb060950	chr1	295342583	295346281																	
myb80	255.00		GRMZM5G870592	Chr1	288542157	288545680					Zm00001d034467	Chr1	293829659	293833423	Zm00001eb060980	chr1	295423285	295426271																	
ring83	255.02		GRMZM2G457544	Chr1	288545250	288563097					Zm00001d034468	Chr1	293832927	293851213	Zm00001eb060990	chr1	295426563	295444876																	
ij2	255.05																																		
bnl8.29a	255.35																																		
wrky12	255.50		GRMZM2G164082	Chr1	288766734	288768763					Zm00001d034475	Chr1	294012381	294013358	Zm00001eb061030	chr1	295605861	295607663																	
hon110	255.60		GRMZM2G164020	Chr1	288803887	288805620					Zm00001d034479	Chr1	294118392	294119816	Zm00001eb061060	chr1	295711776	295713799																	
umc1111	255.65		GRMZM2G163912	Chr1	288808469	288813563					Zm00001d034480	Chr1	294122557	294127795	Zm00001eb061070	chr1	295716427	295721454																	
rtl4	255.70		GRMZM2G039592	Chr1	288924643	288926264					Zm00001d034485	Chr1	294247552	294249062	Zm00001eb061120	chr1	295841127	295842748																	
cl23394_1	255.72		GRMZM2G311961	Chr1	288926858	288931593					Zm00001d034486	Chr1	294250131	294254406	Zm00001eb061130	chr1	295843233	295848112																	
GRMZM2G312091	255.74		GRMZM2G312091	Chr1	288933373	288938239					Zm00001d034487	Chr1	294256802	294261060	Zm00001eb061140	chr1	295850187	295854731																	
GRMZM2G453320	255.76		GRMZM2G453320	Chr1	288992053	288995154					Zm00001d034488	Chr1	294314704	294316542	Zm00001eb061150	chr1	295908363	295910702																	
Zm00001d034491	255.98		GRMZM2G053023	Chr1	289179309	289182012					Zm00001d034491	Chr1	294501103	294503765	Zm00001eb061180	chr1	296094952	296097520																	
vps35	256.00		GRMZM5G825524	Chr1	289263282	289288561					Zm00001d034492	Chr1	294590945	294613858	Zm00001eb061190	chr1	296181275	296207192																	
LOC100192756	256.03		GRMZM2G049912	Chr1	289306084	289309903					Zm00001d034494	Chr1	294631847	294635424	Zm00001eb061210	chr1	296224740	296228494																	
TIDP3559	256.10		GRMZM2G049687	Chr1	289350252	289358801					Zm00001d034498	Chr1	294675916	294684382	Zm00001eb061260	chr1	296268996	296277517																	
LOC103644195	256.13		GRMZM2G137321	Chr1	289403848	289405743					Zm00001d034501	Chr1	294730026	294731510	Zm00001eb061280	chr1	296322940	296324891																	
ddt8	256.14		GRMZM2G137338	Chr1	289407544	289415348					Zm00001d034502	Chr1	294733568	294741371	Zm00001eb061290	chr1	296326610	296334467																	
bhlh17	256.15		GRMZM2G137358	Chr1	289415533	289418791					Zm00001d034503	Chr1	294741570	294745159	Zm00001eb061300	chr1	296334624	296338006																	
cl8171_1a	256.18		GRMZM2G096486	Chr1	289545182	289548862					Zm00001d034505	Chr1	294871168	294874738	Zm00001eb061310	chr1	296464210	296467882																	
GRMZM2G101682	256.20		GRMZM2G101682	Chr1	289590957	289591851					Zm00001d034506	Chr1	294925237	294925734	Zm00001eb061320	chr1	296517991	296518860																	
cle41	256.43		GRMZM2G474685	Chr1	289615706	289619063					Zm00001d034507	Chr1	294961663	294963739	Zm00001eb061340	chr1	296554876	296556281																	
pco148683	256.60		GRMZM2G176662	Chr1	289637047	289643448					Zm00001d034509	Chr1	294981881	294987978	Zm00001eb061360	chr1	296574952	296581160																	
umc1862	256.65		GRMZM2G474798	Chr1	289646406	289669951					Zm00001d034510	Chr1	294991247	295014639	Zm00001eb061370	chr1	296584306	296607725																	
plt38	257.60		GRMZM2G168833	Chr1	289856825	289859319					Zm00001d034513	Chr1	295272475	295274995	Zm00001eb061400	chr1	296823440	296825544																	
glp39	257.61		GRMZM2G151249	Chr1	289917886	289918878					Zm00001d034514	Chr1	295309847	295310533	Zm00001eb061410	chr1	296860423	296861511																	
hb65	257.63		GRMZM2G151266	Chr1	289933104	289944419					Zm00001d034515	Chr1	295313706	295336499	Zm00001eb061430	chr1	296864427	296887197																	
sqsh1	257.65		GRMZM2G029396	Chr1	290074104	290082929					Zm00001d034516	Chr1	295472178	295480964	Zm00001eb061440	chr1	297022922	297031737																	
IDP3856	257.66		GRMZM2G062394	Chr1	290174531	290179401					Zm00001d034517	Chr1	295585610	295590106	Zm00001eb061450	chr1	297124490	297129521																	
IDP538	257.70		GRMZM2G062289	Chr1	290195782	290197968					Zm00001d034520	Chr1	295606657	295609284	Zm00001eb061480	chr1	297145510	297148286																	
ppao2	257.73		GRMZM2G349062	Chr1	290206796	290209672					Zm00001d034523	Chr1	295617955	295620748	Zm00001eb061510	chr1	297156890	297159939																	
aprl8	257.75		GRMZM2G046231	Chr1	290214394	290215834					Zm00001d034525	Chr1	295633173	295636319	Zm00001eb061530	chr1	297171963	297175422																	
umc2242	257.95		GRMZM2G046267	Chr1	290216739	290218000					Zm00001d034526	Chr1	295637409	295638131	Zm00001eb061540	chr1	297176217	297177472																	
csu33b	257.96		GRMZM2G009901	Chr1	290272790	290275287					Zm00001d034527	Chr1	295685533	295686417	Zm00001eb061550	chr1	297223615	297225791																	
ccr1	257.97		GRMZM2G170457	Chr1	290295024	290298191					Zm00001d034528	Chr1	295707225	295710471	Zm00001eb061560	chr1	297246171	297249446																	
si946016e10	257.98		GRMZM2G082664	Chr1	290337501	290359015					Zm00001d034531	Chr1	295750532	295760489	Zm00001eb061570	chr1	297289520	297299468																	
