MaizeGDB: Details of Map Genetic 10
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
LOC100277044	88.52		GRMZM2G097848	Chr10	134998783	135001635					Zm00001d026020	Chr10	136228251	136231070	Zm00001eb428100	chr10	137598662	137601580																					
ring581	88.53		GRMZM2G031280	Chr10	135016428	135017420					Zm00001d026021	Chr10	136246172	136246774	Zm00001eb428110	chr10	137616248	137617317																					
magi59348	88.55		GRMZM2G031326	Chr10	135023858	135030910					Zm00001d026022	Chr10	136253289	136260329	Zm00001eb428130	chr10	137623672	137630824																					
LOC103642867	88.55		GRMZM2G031453	Chr10	135032750	135035538					Zm00001d026023	Chr10	136263893	136264969																									
Zm00001eb428150	88.55		GRMZM2G031453	Chr10	135032750	135035538					Zm00001d026023	Chr10	136263893	136264969	Zm00001eb428150	chr10	137634629	137638034																					
flz35	88.56		AC233979.1_FG006	Chr10	135080593	135082825					Zm00001d026026	Chr10	136307170	136309172	Zm00001eb428170	chr10	137678126	137679475																					
flz36	88.56		AC233979.1_FG007	Chr10	135155198	135155488					Zm00001d026028	Chr10	136365019	136365309	Zm00001eb428190	chr10	137735008	137736307																					
flz37	88.56		AC233979.1_FG008	Chr10	135159811	135160125					Zm00001d026029	Chr10	136369632	136369946	Zm00001eb428210	chr10	137740090	137740404																					
cl35348_1	88.57		AC233979.1_FG009	Chr10	135188729	135193853					Zm00001d026030	Chr10	136396307	136404366	Zm00001eb428220	chr10	137766740	137774794																					
pup6	88.57		GRMZM2G113818	Chr10	135350180	135352459					Zm00001d026042	Chr10	136799427	136804204	Zm00001eb428280	chr10	137944132	137946663																					
pup9	88.57		GRMZM2G113800	Chr10	135354514	135356329					Zm00001d026042	Chr10	136799427	136804204	Zm00001eb428290	chr10	137948737	137950424																					
pco080830	88.58		GRMZM2G473960	Chr10	135531885	135532862					Zm00001d026037	Chr10	136624597	136624935	Zm00001eb428350	chr10	138124652	138125246																					
ring583	88.58		GRMZM2G169645	Chr10	135510043	135517731					Zm00001d026039	Chr10	136639221	136646792	Zm00001eb428330	chr10	138102798	138110420																					
mrpa13	88.58		GRMZM2G413774	Chr10	135389417	135417572					Zm00001d026041	Chr10	136741604	136765374	Zm00001eb428310	chr10	137988096	137995843																					
pub57	88.58		GRMZM2G169690	Chr10	135506723	135508506					Zm00001d026040	Chr10	136648713	136650056	Zm00001eb428320	chr10	138099472	138100986																					
bhlh134	88.60		GRMZM2G086474	Chr10	135701832	135705430					Zm00001d026046	Chr10	136883275	136886894	Zm00001eb428400	chr10	138312785	138316840																					
platz15	88.70		GRMZM2G086403	Chr10	135709748	135712426					Zm00001d026047	Chr10	136891564	136893726	Zm00001eb428410	chr10	138320320	138323435																					
gras22	88.90		GRMZM2G173429	Chr10	135825173	135827459					Zm00001d026050	Chr10	137005720	137007591	Zm00001eb428430	chr10	138435258	138438077																					
traf38	88.92		GRMZM2G162640	Chr10	135935066	135937337					Zm00001d026051	Chr10	137105334	137107748	Zm00001eb428440	chr10	138535016	138537470																					
ring584	88.94		GRMZM2G397684	Chr10	136031316	136032338					Zm00001d026053	Chr10	137213193	137213756	Zm00001eb428450	chr10	138642770	138643803																					
GRMZM2G098676	89.00		GRMZM2G098676	Chr10	136041157	136044090					Zm00001d026055	Chr10	137223044	137225822	Zm00001eb428460	chr10	138652608	138655541																					
hyd3	91.00		GRMZM2G152135	Chr10	136081567	136084686					Zm00001d026056	Chr10	137257366	137260572	Zm00001eb428470	chr10	138687404	138690534																					
acs7	91.50		GRMZM5G894619	Chr10	136107954	136110772					Zm00001d026060	Chr10	137296427	137304511	Zm00001eb428490	chr10	138726155	138728831																					
ofp41	91.56		GRMZM2G040673	Chr10	136127929	136129652					Zm00001d026061	Chr10	137306305	137307456	Zm00001eb428510	chr10	138735811	138737744																					
umc1477	91.58		GRMZM2G016477	Chr10	136139046	136143214					Zm00001d026063	Chr10	137333892	137337401	Zm00001eb428530	chr10	138763073	138767279																					
cl34681_1b	91.60		GRMZM2G105855	Chr10	136203821	136208677					Zm00001d026064	Chr10	137389956	137394809	Zm00001eb428540	chr10	138818596	138823428																					
Zm00001d026066	91.62		GRMZM2G305146	Chr10	136269848	136271995					Zm00001d026066	Chr10	137455971	137457804	Zm00001eb428550	chr10	138884541	138887049																					
Zm00001d026067	91.68		GRMZM2G134703	Chr10	136295605	136297982					Zm00001d026067	Chr10	137485444	137487821	Zm00001eb428560	chr10	138914037	138916530																					
sbt57	91.70		GRMZM2G414915	Chr10	136316599	136321354					Zm00001d026068	Chr10	137510088	137512421	Zm00001eb428570	chr10	138938299	138941679																					
Zm00001d026069	91.72		GRMZM2G414924	Chr10	136318358	136341802					Zm00001d026069	Chr10	137512705	137515431																									
spx11	91.74		GRMZM2G018018	Chr10	136459723	136465406					Zm00001d026070	Chr10	137651412	137671484	Zm00001eb428590	chr10	139080159	139100295																					
mate49	91.81		GRMZM2G006212	Chr10	136639607	136641723					Zm00001d026076	Chr10	137837686	137839407	Zm00001eb428630	chr10	139266140	139268247																					
iqd25	92.00		GRMZM5G845601	Chr10	136902146	136904829					Zm00001d026084	Chr10	138077230	138079896	Zm00001eb428680	chr10	139505899	139508599																					
ocl2	92.20		AC235534.1_FG007	Chr10	136957427	136964001					Zm00001d026088	Chr10	138129427	138138311	Zm00001eb428740	chr10	139559890	139566977																					
Zm00001eb428750	92.21		GRMZM6G798998	Chr10	136966041	136971418					Zm00001d026089	Chr10	138139152	138145141	Zm00001eb428750	chr10	139567592	139573877																					
ring585	92.23		GRMZM5G856306	Chr10	136986861	136991378					Zm00001d026091	Chr10	138160694	138165120	Zm00001eb428770	chr10	139589294	139593817																					
hsftf20	92.40		GRMZM2G301485	Chr10	137124859	137126235					Zm00001d026094	Chr10	138304690	138305939	Zm00001eb428800	chr10	139740848	139742250																					
dof23	92.50		GRMZM2G010290	Chr10	137229762	137232013					Zm00001d026096	Chr10	138350501	138351571	Zm00001eb428830	chr10	139785500	139787836																					
GRMZM2G017414	92.52		GRMZM2G017414	Chr10	137189044	137195761					Zm00001d026097	Chr10	138393420	138400044	Zm00001eb428840	chr10	139829662	139836323																					
nactf166	92.96										Zm00001d026100	Chr10	138492068	138492514	Zm00001eb428860	chr10	139928448	139928894																					
almt16	92.98		GRMZM2G094860	Chr10	137306622	137308705					Zm00001d026102	Chr10	138501198	138503041	Zm00001eb428870	chr10	139937342	139939621																					
umc44a	93.00		GRMZM5G836567	Chr10	137311826	137319567					Zm00001d026104	Chr10	138534395	138535885	Zm00001eb428880	chr10	139942349	139972269																					
miR171k	93.01		zma-MIR171k	Chr10	137341932	137342035					zma-MIR171k	Chr10	138536838	138536941																									
glk41	93.03		GRMZM2G090230	Chr10	137379294	137383113					Zm00001d026106	Chr10	138569154	138572986	Zm00001eb428890	chr10	140005504	140009372																					
LOC103641967	93.05		AC209206.3_FG014	Chr10	137483610	137485990					Zm00001d026109	Chr10	138678061	138680423	Zm00001eb428900	chr10	140114236	140116927																					
ago1b	93.20		AC209206.3_FG011	Chr10	137506877	137513415					Zm00001d026111	Chr10	138699397	138708217	Zm00001eb428910	chr10	140135948	140144586																					
nkd2	93.50		GRMZM5G884137	Chr10	137525111	137530608					Zm00001d026113	Chr10	138719539	138725394	Zm00001eb428940	chr10	140155980	140161756																					
nhx16	93.64		GRMZM2G455171	Chr10	137647853	137666193					Zm00001d026118	Chr10	138832710	138862665	Zm00001eb429050	chr10	140291518	140292384																					
pco062309	93.70		GRMZM2G155776	Chr10	137672502	137674461					Zm00001d026119	Chr10	138868868	138870806	Zm00001eb429080	chr10	140305439	140307352																					
GRMZM2G155762	93.72		GRMZM2G155762	Chr10	137684205	137690387					Zm00001d026120	Chr10	138884177	138886680	Zm00001eb429090	chr10	140319909	140323371																					
aaap70	93.88		GRMZM2G455128	Chr10	137698644	137700681					Zm00001d026121	Chr10	138895014	138896501	Zm00001eb429100	chr10	140331534	140333573																					
pco135291b	93.90		GRMZM2G003124	Chr10	137767472	137771772					Zm00001d026122	Chr10	138963838	138968153	Zm00001eb429110	chr10	140400313	140405095																					
Zm00001d026124	93.92		GRMZM2G003057	Chr10	137776900	137779836					Zm00001d026124	Chr10	138973767	138976226	Zm00001eb429120	chr10	140410060	140412695																					
LOC103641979	93.94		GRMZM2G303387	Chr10	137795133	137797444					Zm00001d026125	Chr10	139026768	139028533																									
umc1045	94.08		GRMZM2G142832	Chr10	137853898	137858727					Zm00001d026126	Chr10	139063429	139066366	Zm00001eb429130	chr10	140487881	140491067																					
mmp71	94.23		GRMZM2G084491	Chr10	137987861	138021103					Zm00001d026127	Chr10	139138426	139205090	Zm00001eb429140	chr10	140562856	140696486																					
cyc23	94.30		GRMZM2G061287	Chr10	138044223	138048190					Zm00001d026129	Chr10	139294768	139298735	Zm00001eb429190	chr10	140718666	140722633																					
nrg23	94.36		GRMZM2G061398	Chr10	138048801	138053310					Zm00001d026130	Chr10	139299512	139303908	Zm00001eb429200	chr10	140723244	140727650																					
aaap71	94.38		GRMZM2G360519	Chr10	138070218	138072710					Zm00001d026131	Chr10	139320952	139323275	Zm00001eb429210	chr10	140744646	140747191																					
skus8	94.40		GRMZM2G360529	Chr10	138073799	138077178					Zm00001d026132	Chr10	139324321	139327689	Zm00001eb429220	chr10	140748224	140751836																					
GRMZM2G117667	94.42		GRMZM2G117667	Chr10	138098264	138101418					Zm00001d026133	Chr10	139348686	139352143	Zm00001eb429230	chr10	140772584	140776043																					
msl8	94.44		GRMZM2G090627	Chr10	138116303	138119551					Zm00001d026135	Chr10	139371672	139375601	Zm00001eb429250	chr10	140795546	140799390																					
l1	95.00																																						
T1-10c(10)	95.00																																						
cdpk30	95.00		GRMZM2G112057	Chr10	138235673	138238484					Zm00001d026139	Chr10	139500504	139503230	Zm00001eb429270	chr10	140924400	140927590																					
sbt58	95.02		GRMZM2G112100	Chr10	138240425	138243391					Zm00001d026140	Chr10	139505527	139507905	Zm00001eb429280	chr10	140928055	140931975																					
Zm00001d026141	95.04		GRMZM2G105775	Chr10	138287280	138288042					Zm00001d026141	Chr10	139551628	139551999	Zm00001eb429290	chr10	140975528	140976341																					
bnlg1028	95.13																																						
IDP7210	95.18		GRMZM2G105801	Chr10	138324276	138326264					Zm00001d026143	Chr10	139606075	139608052	Zm00001eb429300	chr10	141012606	141014590																					
cl483_1	95.20		GRMZM2G344476	Chr10	138344377	138349103					Zm00001d026144	Chr10	139666878	139673623	Zm00001eb429310	chr10	141073273	141080351																					
lc1	95.24																																						
P	95.24		GRMZM5G822829	Chr10	138489998	138498818					Zm00001d026147	Chr10	139780968	139790276	Zm00001eb429330	chr10	141187279	141196584																					
r1	95.24		GRMZM5G822829	Chr10	138489998	138498818					Zm00001d026147	Chr10	139780968	139790276	Zm00001eb429330	chr10	141187279	141196584																					
S	95.24																																						
scm1	95.24																																						
lcm1	95.24																																						
lcm2	95.24																																						
sn1	95.25																																						
hopi1	95.25																																						
isr1	95.26		GRMZM5G803874	Chr10	138512812	138515509					Zm00001d026148	Chr10	139803834	139806665	Zm00001eb429350	chr10	141210513	141213010																					
aldr8	95.27		AF466202.2_FG007	Chr10	138520769	138527883					Zm00001d026151	Chr10	139816965	139817843	Zm00001eb429390	chr10	141223511	141227145																					
glpx7	95.28		GRMZM5G884600	Chr10	138634748	138636622					Zm00001d026154	Chr10	139926048	139927942	Zm00001eb429430	chr10	141332208	141334694																					
LOC100281746	95.29		GRMZM5G843302	Chr10	138689229	138691895					Zm00001d026156	Chr10	139980859	139983545	Zm00001eb429440	chr10	141337081	141390181																					
gras79	95.30		GRMZM2G037792	Chr10	138720419	138723128					Zm00001d026158	Chr10	140012416	140014572	Zm00001eb429450	chr10	141418518	141421312																					
gar2	95.40		GRMZM2G429000	Chr10	138833997	138835213					Zm00001d026160	Chr10	140066627	140067028	Zm00001eb429480	chr10	141522623	141523574																					
jpsb365a	95.85																																						
bnl17.02	96.98																																						
Zm00001d026162	97.04		GRMZM2G391272	Chr10	138859388	138860253					Zm00001d026162	Chr10	140119312	140119716	Zm00001eb429530	chr10	141575571	141576329																					
IDP134	98.00		GRMZM2G091534	Chr10	138886169	138887243					Zm00001d026163	Chr10	140143158	140146819	Zm00001eb429560	chr10	141602442	141603314																					
GRMZM2G091579	98.02		GRMZM2G091579	Chr10	138908463	138909380									Zm00001eb429600	chr10	141624631	141625340																					
IDP4955	98.03		GRMZM2G402027	Chr10	139025210	139031110					Zm00001d026166	Chr10	140249480	140256535	Zm00001eb429620	chr10	141710899	141713034																					
IDP7440	98.04		GRMZM2G100931	Chr10	139035095	139039702					Zm00001d026169	Chr10	140263541	140265009	Zm00001eb429650	chr10	141720074	141721507																					
hb137	98.04		GRMZM2G100931	Chr10	139035095	139039702					Zm00001d026168	Chr10	140260402	140262475	Zm00001eb429640	chr10	141719087	141719779																					
IDP8229	98.05		GRMZM2G401983	Chr10	139056301	139057950					Zm00001d026170	Chr10	140281944	140283238	Zm00001eb429660	chr10	141738073	141739738																					
sbp21	98.10		GRMZM2G148467	Chr10	139106686	139109641					Zm00001d026175	Chr10	140333912	140336785	Zm00001eb429720	chr10	141790408	141793368																					
si618064g10b	98.11		GRMZM2G124965	Chr10	139143084	139148632					Zm00001d026176	Chr10	140370348	140375825	Zm00001eb429740	chr10	141826819	141832329																					
por2	98.12		GRMZM2G125023	Chr10	139149943	139152962					Zm00001d026177	Chr10	140377176	140378531	Zm00001eb429750	chr10	141833579	141835035																					
tip5	98.13		GRMZM2G125023	Chr10	139149943	139152962					Zm00001d026178	Chr10	140378693	140379967	Zm00001eb429760	chr10	141835175	141836510																					
ereb230	98.15										Zm00001d026182	Chr10	140513369	140513983	Zm00001eb429790	chr10	141969533	141970601																					
ereb221	98.17										Zm00001d026184	Chr10	140529822	140530718	Zm00001eb429800	chr10	141985986	141987277																					
myb68	98.20		GRMZM2G311059	Chr10	139262188	139263199					Zm00001d026186	Chr10	140542121	140544170	Zm00001eb429830	chr10	141998557	142000623																					
LOC103642908	98.23		GRMZM2G310957	Chr10	139266939	139268827					Zm00001d026188	Chr10	140548621	140549856																									
GRMZM2G303768	98.24		GRMZM2G303768	Chr10	139276154	139278664					Zm00001d026189	Chr10	140556885	140559471	Zm00001eb429850	chr10	142013282	142016127																					
IDP7541	98.53		GRMZM2G004709	Chr10	139281317	139284531					Zm00001d026190	Chr10	140561973	140565170	Zm00001eb429860	chr10	142018508	142021703																					
ereb2	98.55		GRMZM2G080516	Chr10	139299146	139301101					Zm00001d026191	Chr10	140619551	140620363	Zm00001eb429870	chr10	142075767	142077033																					
IDP263	98.58		GRMZM2G128057	Chr10	139399452	139402605					Zm00001d026193	Chr10	140677876	140680877	Zm00001eb429900	chr10	142134400	142137401																					
myb9	99.00		GRMZM2G081557	Chr10	139471900	139473418					Zm00001d026197	Chr10	140757698	140759098	Zm00001eb429940	chr10	142214302	142215629																					
IDP8648	99.16		GRMZM2G097628	Chr10	139609717	139610678					Zm00001d026202	Chr10	140866965	140867261	Zm00001eb429990	chr10	142322948	142323662																					
myb5	99.18		GRMZM2G097636	Chr10	139613167	139614620					Zm00001d026203	Chr10	140869750	140871173	Zm00001eb430000	chr10	142325860	142327622																					
myb65	99.20		GRMZM2G097638	Chr10	139616209	139617701					Zm00001d026204	Chr10	140872548	140874240	Zm00001eb430020	chr10	142328884	142329966																					
opt2	99.25		AC198515.3_FG011	Chr10	139692906	139695582					Zm00001d026207	Chr10	140946552	140949521	Zm00001eb430050	chr10	142402973	142405878																					
pco062587	99.30		GRMZM2G159389	Chr10	139769106	139771928					Zm00001d026212	Chr10	141035340	141038053	Zm00001eb430080	chr10	142492033	142494249																					
LOC103642014	99.32		GRMZM2G458283	Chr10	139775703	139780301					Zm00001d026213	Chr10	141041899	141053154	Zm00001eb430090	chr10	142498129	142504522																					
pco068000	99.40		GRMZM2G364060	Chr10	139910489	139921914					Zm00001d026214	Chr10	141182614	141188938	Zm00001eb430100	chr10	142638945	142645291																					
wrky112	99.80		AC208110.2_FG001	Chr10	140081545	140084417					Zm00001d026218	Chr10	141366825	141369972	Zm00001eb430130	chr10	142822216	142826354																					
nrt15	99.82		AC208110.2_FG005	Chr10	140146950	140148073					Zm00001d026220	Chr10	141431446	141432345																									
ptr9	99.84		AC208110.2_FG011	Chr10	140152897	140154967					Zm00001d026221	Chr10	141436801	141438999	Zm00001eb430150	chr10	142893311	142895381																					
Zm00001d026223	99.88		AC208110.2_FG007	Chr10	140166884	140168667					Zm00001d026223	Chr10	141450912	141452580	Zm00001eb430170	chr10	142907242	142908966																					
Zm00001eb430210	99.95										Zm00001d026227	Chr10	141473233	141473457	Zm00001eb430210	chr10	142929615	142930067																					
zfl1	100.00		GRMZM2G098813	Chr10	140276803	140279827					Zm00001d026231	Chr10	141561862	141564767	Zm00001eb430240	chr10	143018175	143021366																					
Zm00001d026237	100.02										Zm00001d026237	Chr10	141669523	141675761	Zm00001eb430260	chr10	143125765	143132257																					
Zm00001d026238	100.04										Zm00001d026238	Chr10	141680042	141685861	Zm00001eb430280	chr10	143138858	143141727																					
cold1	100.05		GRMZM2G129169	Chr10	140384784	140389775					Zm00001d026239	Chr10	141705335	141710281	Zm00001eb430290	chr10	143161685	143166855																					
grftf5	100.07		GRMZM2G129147	Chr10	140394154	140397947					Zm00001d026240	Chr10	141714589	141718409	Zm00001eb430300	chr10	143171020	143174910																					
Zm00001d026242	100.08										Zm00001d026242	Chr10	141728452	141731631	Zm00001eb430330	chr10	143183466	143188227																					
Zm00001eb430320	100.08		GRMZM2G129133	Chr10	140405864	140407567					Zm00001d026241	Chr10	141726352	141728004	Zm00001eb430320	chr10	143182726	143184435																					
AY112131a	100.09		GRMZM2G129071	Chr10	140419826	140445720					Zm00001d026244	Chr10	141740263	141743415	Zm00001eb430350	chr10	143196860	143203265																					
thx10	100.10		GRMZM2G415229	Chr10	140445959	140448997					Zm00001d026245	Chr10	141743929	141746414	Zm00001eb430350	chr10	143196860	143203265																					
csu615b	100.12		GRMZM2G311051	Chr10	140488800	140493553					Zm00001d026246	Chr10	141781998	141789379	Zm00001eb430360	chr10	143238541	143257617																					
Zm00001d026249	100.44										Zm00001d026249	Chr10	141894651	141903608	Zm00001eb430400	chr10	143349996	143359581																					
xth19	100.46		GRMZM2G142857	Chr10	140659286	140660569					Zm00001d026250	Chr10	141994182	141995509	Zm00001eb430410	chr10	143450001	143451375																					
xth18	100.48		GRMZM2G091303	Chr10	140676225	140677952					Zm00001d026251	Chr10	142016433	142018131	Zm00001eb430420	chr10	143472372	143474103																					
wrky14	100.50		GRMZM2G091331	Chr10	140695930	140697533					Zm00001d026252	Chr10	142052895	142054459	Zm00001eb430430	chr10	143508833	143510543																					
cl36308_1b	100.52		GRMZM2G391042	Chr10	140700653	140723772					Zm00001d026253	Chr10	142057742	142080822	Zm00001eb430440	chr10	143513410	143536782																					
Zm00001d026254	100.54		GRMZM2G094051	Chr10	140775950	140778570					Zm00001d026254	Chr10	142134479	142136691	Zm00001eb430450	chr10	143590161	143592631																					
mst1	101.00																																						
Zm00001d026258	101.80		GRMZM2G128934	Chr10	140800375	140805049					Zm00001d026258	Chr10	142157661	142162299	Zm00001eb430480	chr10	143613569	143618257																					
LOC100194258	101.82		GRMZM2G018462	Chr10	140903077	140908845					Zm00001d026259	Chr10	142269137	142269586	Zm00001eb430490	chr10	143719919	143725618																					
gtf41	101.86		GRMZM2G057567	Chr10	140931431	140935751					Zm00001d026261	Chr10	142291677	142296479	Zm00001eb430510	chr10	143747643	143752555																					
saur77	101.90		GRMZM2G456644	Chr10	140977489	140978388					Zm00001d026262	Chr10	142339502	142340011	Zm00001eb430530	chr10	143795359	143796443																					
si486016f12b	101.96		GRMZM2G456618	Chr10	140985284	140986386					Zm00001d026263	Chr10	142347105	142359053	Zm00001eb430560	chr10	143803041	143815396																					
LOC103642042	101.98		GRMZM2G156145	Chr10	140998955	141006046					Zm00001d026265	Chr10	142361347	142368169	Zm00001eb430580	chr10	143817144	143824076																					
stk4	102.00		GRMZM2G156013	Chr10	141014946	141018420					Zm00001d026267	Chr10	142376205	142380294	Zm00001eb430600	chr10	143832801	143836242																					
Zm00001d026268	102.02		GRMZM2G156004	Chr10	141037088	141038968					Zm00001d026268	Chr10	142399024	142400904	Zm00001eb430610	chr10	143854932	143856825																					
prh64	102.18		GRMZM2G155991	Chr10	141044238	141048433					Zm00001d026269	Chr10	142406258	142407949	Zm00001eb430620	chr10	143860180	143866426																					
phd9	102.20		GRMZM2G073581	Chr10	141102389	141111678					Zm00001d026270	Chr10	142437417	142472462	Zm00001eb430630	chr10	143893308	143927895																					
ereb205	102.40		GRMZM2G438202	Chr10	141249356	141251027					Zm00001d026271	Chr10	142611393	142612061	Zm00001eb430640	chr10	144067226	144068250																					
ufg15	102.70		GRMZM2G137009	Chr10	141257886	141261134					Zm00001d026273	Chr10	142618005	142622387	Zm00001eb430650	chr10	144075057	144078305																					
cpx2	102.73		GRMZM2G032282	Chr10	141340391	141349914					Zm00001d026277	Chr10	142707254	142721455	Zm00001eb430670	chr10	144163177	144186855																					
pdcb55	102.74		GRMZM2G031477	Chr10	141380543	141384518					Zm00001d026281	Chr10	142749949	142756081	Zm00001eb430710	chr10	144207970	144211831																					
cop2	102.75		GRMZM2G028929	Chr10	141389160	141394314					Zm00001d026283	Chr10	142760846	142765876	Zm00001eb430730	chr10	144216796	144221827																					
rps11	103.00		GRMZM2G019325	Chr10	141493143	141495837					Zm00001d026286	Chr10	142863674	142866331	Zm00001eb430770	chr10	144319602	144322359																					
bnlg2190	103.08		GRMZM2G019986	Chr10	141495963	141500441					Zm00001d026287	Chr10	142866476	142870798	Zm00001eb430780	chr10	144322419	144327317																					
mbd123	103.20		GRMZM2G119802	Chr10	141516809	141520645					Zm00001d026288	Chr10	142887361	142891016	Zm00001eb430800	chr10	144343333	144346991																					
Zm00001d026289	103.22		GRMZM2G327234	Chr10	141588089	141592033					Zm00001d026289	Chr10	142956463	142961794	Zm00001eb430810	chr10	144412352	144417755																					
si707083e03	103.28		GRMZM2G025243	Chr10	141600894	141612028					Zm00001d026290	Chr10	142970716	142981629	Zm00001eb430820	chr10	144426661	144437603																					
met2	103.30		GRMZM2G025592	Chr10	141612636	141620390					Zm00001d026291	Chr10	142982967	142990366																									
LOC100286148	103.32		GRMZM2G108125	Chr10	141705143	141717058					Zm00001d026293	Chr10	143077541	143089471	Zm00001eb430840	chr10	144533412	144545443																					
IDP3850	103.36		GRMZM2G114182	Chr10	141754578	141761451					Zm00001d026295	Chr10	143128213	143138549	Zm00001eb430870	chr10	144585539	144592927																					
nal1b	103.38		GRMZM2G033724	Chr10	141781980	141787455					Zm00001d026296	Chr10	143156312	143161817	Zm00001eb430880	chr10	144612219	144617673																					
ufg56	103.53																																						
ufg62	104.15																																						
hipp64	106.23		GRMZM2G354855	Chr10	141793888	141795633					Zm00001d026298	Chr10	143168656	143170119	Zm00001eb430910	chr10	144624546	144626009																					
ago2b	106.25		GRMZM2G354867	Chr10	141823070	141828449					Zm00001d026300	Chr10	143197942	143203163	Zm00001eb430920	chr10	144653288	144659160																					
farl18	106.26		GRMZM2G055660	Chr10	141829597	141830831					Zm00001d026301	Chr10	143204083	143209377																									
cl30918_1b	106.27		GRMZM2G349988	Chr10	141832720	141838975					Zm00001d026302	Chr10	143209576	143212715	Zm00001eb430930	chr10	144665436	144668897																					
Zm00001d026303	106.28		GRMZM2G126858	Chr10	141858691	141869227					Zm00001d026303	Chr10	143231316	143239636	Zm00001eb430940	chr10	144687227	144695593																					
ca2p7	106.30		GRMZM2G126957	Chr10	141891517	141897548					Zm00001d026305	Chr10	143264094	143272292	Zm00001eb430980	chr10	144723309	144724147																					
si945031g08d	106.31		GRMZM2G155837	Chr10	141898655	141910652					Zm00001d026306	Chr10	143271399	143283473	Zm00001eb430990	chr10	144726938	144739619																					
morf3	106.32		GRMZM2G054537	Chr10	141932429	141936091					Zm00001d026307	Chr10	143304025	143307489	Zm00001eb431000	chr10	144759762	144763447																					
saur78	106.34		GRMZM2G354209	Chr10	141937781	141938691					Zm00001d026308	Chr10	143309469	143309843	Zm00001eb431010	chr10	144765137	144765866																					
aldh28	106.38		GRMZM2G354187	Chr10	141943317	141947774									Zm00001eb431030	chr10	144774939	144775355																					
ppr515	106.40		GRMZM2G145480	Chr10	142015991	142017755					Zm00001d026310	Chr10	143361789	143362886	Zm00001eb431040	chr10	144817237	144820169																					
Zm00001d026311	106.42		GRMZM2G145460	Chr10	142019953	142023750					Zm00001d026311	Chr10	143365795	143369286	Zm00001eb431050	chr10	144821218	144825188																					
bhlh7	106.90		GRMZM2G042920	Chr10	142141640	142143666					Zm00001d026317	Chr10	143490316	143494748	Zm00001eb431080	chr10	144948727	144950792																					
pbac3	106.96		GRMZM2G028902	Chr10	142207946	142212938					Zm00001d026319	Chr10	143558820	143563786	Zm00001eb431110	chr10	145014655	145019481																					
GRMZM2G029039	106.98		GRMZM2G029039	Chr10	142218302	142221256					Zm00001d026321	Chr10	143570399	143571745	Zm00001eb431120	chr10	145024889	145027924																					
cdo244a(crp)	107.00		GRMZM2G029242	Chr10	142222065	142225975					Zm00001d026322	Chr10	143572991	143576712	Zm00001eb431130	chr10	145028676	145032463																					
Zm00001eb431150	107.02		GRMZM2G497552	Chr10	142258974	142263133					Zm00001d026327	Chr10	143613939	143614301	Zm00001eb431150	chr10	145065893	145070052																					
umc2792	108.00		GRMZM2G096107	Chr10	142498498	142510448					Zm00001d026331	Chr10	143632251	143644255	Zm00001eb431180	chr10	145087999	145100074																					
si947011b09	108.01		GRMZM2G096135	Chr10	142495227	142497430					Zm00001d026332	Chr10	143646254	143647603																									
IDP4016	108.02		GRMZM2G396846	Chr10	142492885	142494888					Zm00001d026333	Chr10	143647928	143649894	Zm00001eb431190	chr10	145103596	145105795																					
pao3	108.02		GRMZM2G396856	Chr10	142484991	142490241					Zm00001d026334	Chr10	143652486	143657784	Zm00001eb431200	chr10	145108216	145113548																					
