MaizeGDB: Details of Map Genetic 8
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Sequence
rcc26	98.35		GRMZM2G075906	Chr8	152623794	152629284					Zm00001d011660	Chr8	157761148	157769182	Zm00001eb360990	chr8	157050479	157060957									
Zm00001d011661	98.36		GRMZM2G158205	Chr8	152677277	152679224					Zm00001d011661	Chr8	157816116	157817894	Zm00001eb361000	chr8	157105261	157107249									
cdpk21	98.40		GRMZM2G047479	Chr8	152912796	152915491					Zm00001d011666	Chr8	158082120	158084527	Zm00001eb361020	chr8	157371783	157373883									
dnaj173	98.40		GRMZM2G469901	Chr8	152945705	152951381					Zm00001d011668	Chr8	158113028	158118589	Zm00001eb361030	chr8	157402317	157407964									
myb124	98.41		GRMZM2G003406	Chr8	153001174	153002887					Zm00001d011669	Chr8	158166587	158167961	Zm00001eb361040	chr8	157455928	157457489									
fps2	98.42		GRMZM2G147721	Chr8	153104841	153108971					Zm00001d011673	Chr8	158269867	158274000	Zm00001eb361070	chr8	157559308	157563521									
kelp3	98.43		GRMZM2G144857	Chr8	153321839	153322330					Zm00001d011680	Chr8	158512216	158527236	Zm00001eb361130	chr8	157814161	157816703									
nrt5	98.43		GRMZM2G455124	Chr8	153245760	153247759					Zm00001d011679	Chr8	158415720	158417282	Zm00001eb361110	chr8	157704853	157707190									
pmei25	98.43		GRMZM2G138999	Chr8	153155900	153156831					Zm00001d011678	Chr8	158327736	158331518	Zm00001eb361090	chr8	157617214	157620981									
sbei1	98.44		GRMZM2G089553	Chr8	153432756	153436136					Zm00001d011685	Chr8	158633943	158638370	Zm00001eb361150	chr8	157923339	157928319									
jih2	98.45		GRMZM5G833406	Chr8	153566614	153572389					Zm00001d011687	Chr8	158767824	158774077	Zm00001eb361170	chr8	158058028	158063753									
Zm00001d011686	98.45		GRMZM2G465977	Chr8	153540818	153541207					Zm00001d011686	Chr8	158743518	158743907	Zm00001eb361160	chr8	158032994	158033403									
pco134015	98.46		GRMZM5G894156	Chr8	153585893	153593022					Zm00001d011688	Chr8	158788080	158794162	Zm00001eb361180	chr8	158077410	158085247									
smh3	98.50		GRMZM2G023667	Chr8	153685211	153695652					Zm00001d011691	Chr8	158898274	158905198	Zm00001eb361210	chr8	158195021	158198239									
LOC100282481	98.52		GRMZM2G145019	Chr8	153827802	153830633					Zm00001d011697	Chr8	159028132	159032540	Zm00001eb361230	chr8	158299426	158304058									
pk2	98.55		GRMZM2G404207	Chr8	153923124	153927653					Zm00001d011700	Chr8	159172370	159181013	Zm00001eb361260	chr8	158432666	158440783									
rbap1	98.60		GRMZM2G316113	Chr8	153994750	154008418					Zm00001d011705	Chr8	159247250	159252702	Zm00001eb361300	chr8	158507532	158513002									
cl39764_1	98.62		GRMZM5G827505	Chr8	154059874	154067671					Zm00001d011706	Chr8	159306374	159314076	Zm00001eb361310	chr8	158566631	158574440									
rtl1	98.64		GRMZM5G832994	Chr8	154129622	154132963					Zm00001d011708	Chr8	159401583	159404367	Zm00001eb361330	chr8	158639566	158642478									
abi19	98.66		GRMZM2G035701	Chr8	154216668	154220485					Zm00001d011712	Chr8	159488658	159493031	Zm00001eb361390	chr8	158727000	158731148									
LOC100285801	98.66										Zm00001d011710	Chr8	159460166	159461104	Zm00001eb361370	chr8	158698252	158699423									
LOC103636230	98.68		GRMZM2G179217	Chr8	154530683	154534578					Zm00001d011716	Chr8	159801024	159805217	Zm00001eb361450	chr8	159039097	159043342									
vde3	98.70		GRMZM2G408706	Chr8	154564180	154569605					Zm00001d011720	Chr8	159835548	159840848	Zm00001eb361500	chr8	159077577	159079094									
bri1a	98.72		GRMZM2G048294	Chr8	154615633	154619705					Zm00001d011721	Chr8	159899428	159902796	Zm00001eb361520	chr8	159137182	159141437									
Zm00001eb361580	98.78		GRMZM2G317382	Chr8	154787029	154806778					Zm00001d011729	Chr8	160069393	160090055	Zm00001eb361580	chr8	159325372	159328752									
thx6	98.80		GRMZM2G339957	Chr8	154781227	154784741					Zm00001d011730	Chr8	160093938	160094990	Zm00001eb361590	chr8	159329802	159333300									
v16	99.00																										
nad2	99.00		GRMZM5G878308	Chr8	154962386	154965330					Zm00001d011732	Chr8	160220321	160223281	Zm00001eb361610	chr8	159458455	159461426									
Zm00001eb361620	99.02		GRMZM5G836174	Chr8	154976915	154978364					Zm00001d011734	Chr8	160235115	160235972	Zm00001eb361620	chr8	159472984	159475014									
sat1	99.05		GRMZM2G069203	Chr8	155020473	155021850					Zm00001d011735	Chr8	160278127	160279059	Zm00001eb361640	chr8	159516055	159517439									
Zm00001d011738	99.18		GRMZM2G169548	Chr8	155129138	155165816					Zm00001d011738	Chr8	160386965	160392640	Zm00001eb361670	chr8	159625025	159630809									
myb114	99.20		GRMZM2G151205	Chr8	155174836	155176075					Zm00001d011739	Chr8	160432796	160433990	Zm00001eb361680	chr8	159670916	159672316									
pco066882b	99.22		GRMZM2G151252	Chr8	155183983	155186487					Zm00001d011741	Chr8	160442324	160444345	Zm00001eb361700	chr8	159680481	159682529									
Zm00001eb361730	99.24		GRMZM2G313833	Chr8	155373300	155378639					Zm00001d011744	Chr8	160624165	160626163	Zm00001eb361730	chr8	159862096	159863047									
abi20	99.25		GRMZM2G313737	Chr8	155378968	155387313					Zm00001d011745	Chr8	160627041	160632198	Zm00001eb361750	chr8	159865221	159870386									
spa4	99.26		GRMZM2G061602	Chr8	155435029	155441498					Zm00001d011746	Chr8	160671478	160678347	Zm00001eb361760	chr8	159908724	159916516									
mads43	99.30		GRMZM2G001139	Chr8	155471127	155475291					Zm00001d011748	Chr8	160706837	160710739	Zm00001eb361790	chr8	159945056	159948923									
crk1	99.32		GRMZM2G144716	Chr8	155508895	155513357					Zm00001d011750	Chr8	160744068	160748987	Zm00001eb361800	chr8	159982182	159987155									
Zm00001eb361840	99.36		GRMZM2G144707	Chr8	155518074	155519362					Zm00001d011753	Chr8	160753687	160755164	Zm00001eb361840	chr8	159991878	159993151									
B6UI56	100.96		GRMZM2G107570	Chr8	155562564	155563839					Zm00001d011755	Chr8	160797624	160798695	Zm00001eb361860	chr8	160035510	160036855									
Zm00001d011756	100.98		GRMZM2G166383	Chr8	155582172	155589074					Zm00001d011756	Chr8	160818522	160825421	Zm00001eb361870	chr8	160056611	160063580									
tmm2	101.00		GRMZM2G166413	Chr8	155590385	155592578					Zm00001d011757	Chr8	160827185	160828531	Zm00001eb361880	chr8	160064892	160067121									
ght1	101.20														Zm00001eb361930	chr8	162030349	162031018									
Zm00001eb361940	101.22										Zm00001d011759	Chr8	160937042	160941578	Zm00001eb361940	chr8	162284249	162289676									
dnaj174	101.26										Zm00001d011760	Chr8	160944524	160947119	Zm00001eb361960	chr8	162291795	162294499									
K8L2	102.00																										
yuc8	102.60		GRMZM2G017193	Chr8	155795371	155798447					Zm00001d011764	Chr8	161071221	161074991	Zm00001eb362000	chr8	162417236	162422419									
LOC100281761	102.62		GRMZM2G176301	Chr8	155889405	155891750					Zm00001d011765	Chr8	161174717	161177072	Zm00001eb362010	chr8	162522109	162524488									
pco124021	102.64		GRMZM2G073622	Chr8	155912059	155914135					Zm00001d011766	Chr8	161195803	161197827	Zm00001eb362020	chr8	162543190	162545216									
dnaJ81	102.65		GRMZM2G341404	Chr8	155964570	155969639					Zm00001d011767	Chr8	161248146	161252725	Zm00001eb362030	chr8	162595357	162600247									
cl3744_1	102.68		GRMZM2G045421	Chr8	155978930	155981992					Zm00001d011770	Chr8	161262490	161265159	Zm00001eb362080	chr8	162609618	162613132									
gata17	102.70		GRMZM2G138967	Chr8	155999788	156001252					Zm00001d011771	Chr8	161288497	161289891	Zm00001eb362090	chr8	162635875	162637269									
pco115129a	102.71		GRMZM2G438673	Chr8	156004173	156008541					Zm00001d011773	Chr8	161292877	161297384	Zm00001eb362110	chr8	162640174	162644676									
LOC100285575	102.73		GRMZM2G138995	Chr8	156012383	156016375					Zm00001d011775	Chr8	161301289	161305093	Zm00001eb362140	chr8	162648684	162652024									
tip2	102.75		GRMZM2G168439	Chr8	156113368	156114570					Zm00001d011778	Chr8	161412063	161413479	Zm00001eb362170	chr8	162759683	162760807									
cl17969_1	102.75		GRMZM2G168386	Chr8	156172925	156176177					Zm00001d011781	Chr8	161472200	161475123	Zm00001eb362200	chr8	162819434	162822501									
pco061803	102.75		GRMZM2G168375	Chr8	156176245	156178529					Zm00001d011782	Chr8	161475214	161477513	Zm00001eb362210	chr8	162822545	162824972									
blk4	102.75		GRMZM2G168428	Chr8	156155856	156165346					Zm00001d011779	Chr8	161454835	161467149	Zm00001eb362180	chr8	162802138	162814668									
cybv15	102.77		GRMZM2G067601	Chr8	156263468	156265092					Zm00001d011786	Chr8	161548685	161550315	Zm00001eb362250	chr8	162896006	162897739									
glk56	102.77		GRMZM2G067702	Chr8	156260024	156261399					Zm00001d011785	Chr8	161545498	161546157	Zm00001eb362240	chr8	162892558	162893775									
ccp28	102.77		GRMZM2G367701	Chr8	156268201	156269754					Zm00001d011787	Chr8	161553753	161554910	Zm00001eb362260	chr8	162900776	162902344									
pco113764	102.78		GRMZM2G067575	Chr8	156311939	156312648					Zm00001d011789	Chr8	161623974	161624864	Zm00001eb362290	chr8	162971737	162972257									
ppr447	102.78		GRMZM5G838388	Chr8	156306776	156308706					Zm00001d011788	Chr8	161618982	161621182	Zm00001eb362270	chr8	162966391	162973168									
vdl1	102.79		GRMZM2G415538	Chr8	156348546	156364515					Zm00001d011790	Chr8	161650580	161666693	Zm00001eb362300	chr8	162997860	163014395									
phd42	102.80		GRMZM2G149587	Chr8	156446973	156452761					Zm00001d011802	Chr8	161757825	161764087	Zm00001eb362400	chr8	163105212	163111695									
LOC100384208	102.80		GRMZM2G167767	Chr8	156417291	156422666					Zm00001d011796	Chr8	161717957	161722781	Zm00001eb362360	chr8	163065359	163070293									
GRMZM2G149535	102.81		GRMZM2G149535	Chr8	156458426	156461824					Zm00001d011803	Chr8	161769734	161773104	Zm00001eb362410	chr8	163117124	163120623									
rcc27	102.81		GRMZM2G092616	Chr8	156540428	156544413					Zm00001d011805	Chr8	161834426	161839733	Zm00001eb362420	chr8	163182087	163187140									
bss1	102.82		GRMZM2G168552	Chr8	156640234	156641211					Zm00001d011813	Chr8	161930926	161931866	Zm00001eb362480	chr8	163278385	163279371									
Zm00001d011816	102.83		GRMZM2G446960	Chr8	156777787	156780530					Zm00001d011816	Chr8	162012206	162014429	Zm00001eb362490	chr8	163349541	163351716									
pco065335b	102.84		GRMZM2G147709	Chr8	156774183	156777876					Zm00001d011817	Chr8	162014895	162018508	Zm00001eb362500	chr8	163352146	163355831									
chao2	102.86		GRMZM2G038487	Chr8	156709359	156713478					Zm00001d011819	Chr8	162062147	162065473	Zm00001eb362510	chr8	163399444	163402830									
nrg21	102.86		GRMZM2G118636	Chr8	156838793	156842094					Zm00001d011823	Chr8	162142980	162146256	Zm00001eb362540	chr8	163480268	163483859									
cl40750_1	102.87		GRMZM2G133885	Chr8	156916728	156924245					Zm00001d011827	Chr8	162217111	162224500	Zm00001eb362570	chr8	163553828	163562090									
ndho1	102.87		GRMZM2G133844	Chr8	156915137	156916424					Zm00001d011826	Chr8	162215583	162216743	Zm00001eb362560	chr8	163552610	163554294									
sr45_2	102.87		GRMZM2G133926	Chr8	156926212	156935667					Zm00001d011828	Chr8	162227066	162236070	Zm00001eb362580	chr8	163563800	163573443									
pco091316	102.88		GRMZM2G435034	Chr8	156953487	156959966					Zm00001d011831	Chr8	162253836	162260358	Zm00001eb362610	chr8	163591213	163597729									
mlh1	102.88		GRMZM2G133952	Chr8	156941586	156948706					Zm00001d011829	Chr8	162241780	162249101	Zm00001eb362590	chr8	163579328	163586439									
GRMZM2G059191	102.88		GRMZM2G059191	Chr8	156995161	156998789					Zm00001d011833	Chr8	162293750	162297261	Zm00001eb362640	chr8	163631093	163634635									
lrp1	102.89		GRMZM2G077752	Chr8	157286610	157288482					Zm00001d011843	Chr8	162564729	162565898	Zm00001eb362740	chr8	163930114	163931565									
GRMZM2G040309	102.89		GRMZM2G040309	Chr8	157205922	157211556					Zm00001d011839	Chr8	162488291	162493316	Zm00001eb362700	chr8	163853110	163858994									
Zm00001d011842	102.89		GRMZM2G077776	Chr8	157262589	157264307					Zm00001d011842	Chr8	162540520	162541875	Zm00001eb362730	chr8	163905701	163907557									
bhlh54	102.90		AC193786.3_FG005	Chr8	157462749	157463805					Zm00001d011847	Chr8	162652002	162656985	Zm00001eb362800	chr8	164017222	164023607									
crr4	102.92		GRMZM2G319187	Chr8	157499048	157505111					Zm00001d011849	Chr8	162775996	162782061	Zm00001eb362820	chr8	164141452	164147724									
umc2711	102.93		GRMZM2G016827	Chr8	157506230	157512833					Zm00001d011850	Chr8	162783924	162789981	Zm00001eb362830	chr8	164149349	164155235									
rcc28	102.93		GRMZM2G319130	Chr8	157520354	157528514					Zm00001d011851	Chr8	162797209	162805481	Zm00001eb362840	chr8	164162762	164170937									
glp47	102.93		GRMZM2G016657	Chr8	157529051	157530072					Zm00001d011853	Chr8	162805917	162807020	Zm00001eb362850	chr8	164171382	164172520									
vln2	102.94		GRMZM2G180988	Chr8	157629075	157639502					Zm00001d011854	Chr8	162915395	162925930	Zm00001eb362860	chr8	164280915	164291384									
Zm00001eb362900	102.94		GRMZM2G444115	Chr8	157872596	157878103					Zm00001d011857	Chr8	163123875	163127899	Zm00001eb362900	chr8	164475574	164481965									
osca10	102.95		GRMZM2G402708	Chr8	158106071	158110215					Zm00001d011872	Chr8	163438578	163443056	Zm00001eb363040	chr8	164791141	164795754									
elm1	102.97		GRMZM5G861678	Chr8	158299004	158303170					Zm00001d011876	Chr8	163614240	163618286	Zm00001eb363080	chr8	164966788	164970809									
LOC100278261	102.97		GRMZM2G102314	Chr8	158435460	158437685					Zm00001d011877	Chr8	163757649	163765413	Zm00001eb363090	chr8	165109783	165120135									
trl1	102.98		GRMZM2G060723	Chr8	158528915	158532152					Zm00001d011878	Chr8	163837344	163840432	Zm00001eb363100	chr8	165189359	165193311									
gras2	102.99		GRMZM2G129154	Chr8	158560400	158562023					Zm00001d011881	Chr8	163868830	163870179	Zm00001eb363140	chr8	165221321	165223133									
ebe1	103.00		GRMZM2G129157	Chr8	158567300	158572192					Zm00001d011882	Chr8	163875069	163878710	Zm00001eb363150	chr8	165228252	165231378									
cl13281_1b	103.02		GRMZM2G060977	Chr8	158622298	158629215					Zm00001d011885	Chr8	163934356	163941137	Zm00001eb363160	chr8	165287046	165293945									
geb3	103.15		GRMZM2G061403	Chr8	158637118	158638675					Zm00001d011886	Chr8	163949770	163950618	Zm00001eb363180	chr8	165302251	165303672									
hex9	103.24		GRMZM2G467069	Chr8	158729478	158739079					Zm00001d011889	Chr8	164038137	164044860	Zm00001eb363200	chr8	165390604	165407861									
cko3	103.25		GRMZM2G167220	Chr8	158737677	158740474					Zm00001d011890	Chr8	164045195	164048986	Zm00001eb363220	chr8	165399205	165401889									
LOC100282053	103.25		GRMZM2G046558	Chr8	158797662	158806722					Zm00001d011891	Chr8	164106171	164115399	Zm00001eb363240	chr8	165458987	165468325									
Zm00001d011892	103.25										Zm00001d011892	Chr8	164115327	164117277													
si486068c09	103.26		GRMZM2G005554	Chr8	158915955	158916852					Zm00001d011899	Chr8	164231361	164231939	Zm00001eb363300	chr8	165583995	165585005									
pco079656	103.27		GRMZM2G005459	Chr8	158923157	158929580					Zm00001d011900	Chr8	164238449	164244768	Zm00001eb363310	chr8	165591294	165597713									
psb28	103.27		GRMZM2G005433	Chr8	158930788	158932239					Zm00001d011901	Chr8	164246091	164251059	Zm00001eb363330	chr8	165598927	165604044									
ppr448	103.27		GRMZM2G303587	Chr8	158932922	158935675									Zm00001eb363330	chr8	165598927	165604044									
si687002c08b	103.28		GRMZM5G836999	Chr8	158989504	158989724									Zm00001eb363380	chr8	165645741	165667054									
hak2	103.28		AC233953.1_FG005	Chr8	159041068	159045552					Zm00001d011913	Chr8	164362879	164368379	Zm00001eb363430	chr8	165715780	165721279									
perk3	103.28		GRMZM2G037585	Chr8	158991228	158995897					Zm00001d011908	Chr8	164313713	164318410	Zm00001eb363390	chr8	165666555	165671610									
LOC103636310	103.28		GRMZM2G005290	Chr8	158940911	158942378					Zm00001d011903	Chr8	164256281	164257564	Zm00001eb363360	chr8	165608913	165610724									
Zm00001d011917	103.29		GRMZM2G461666	Chr8	159202706	159202960					Zm00001d011917	Chr8	164542655	164544125	Zm00001eb363470	chr8	165895478	165897116									
Zm00001d011915	103.29										Zm00001d011915	Chr8	164431996	164432511	Zm00001eb363450	chr8	165784598	165785588									
tcp1	103.30		GRMZM2G118515	Chr8	159216940	159224411					Zm00001d011918	Chr8	164544656	164552085	Zm00001eb363480	chr8	165897552	165904884									
atg18a	103.31		GRMZM2G122607	Chr8	159245954	159250705					Zm00001d011920	Chr8	164595644	164600231	Zm00001eb363500	chr8	165948338	165953137									
ralf10	103.31		GRMZM2G423959	Chr8	159252718	159253454					Zm00001d011921	Chr8	164602381	164602755	Zm00001eb363520	chr8	165955158	165955924									
cdlb14	103.31		GRMZM2G423917	Chr8	159242022	159243697					Zm00001d011919	Chr8	164591701	164592765	Zm00001eb363490	chr8	165944369	165945995									
traf26	103.32		GRMZM2G095510	Chr8	159333581	159339448					Zm00001d011923	Chr8	164678915	164684859	Zm00001eb363540	chr8	166031888	166037949									
ralf14	103.32		GRMZM2G395429	Chr8	159332011	159332859					Zm00001d011922	Chr8	164677723	164678097	Zm00001eb363530	chr8	166030515	166031445									
gpm184	103.33		GRMZM2G302045	Chr8	159433440	159443021					Zm00001d011929	Chr8	164793032	164802617	Zm00001eb363610	chr8	166131110	166141370									
Zm00001d011927	103.33		GRMZM2G002135	Chr8	159425732	159429317					Zm00001d011927	Chr8	164785266	164788777	Zm00001eb363580	chr8	166123532	166126835									
umc2031	103.35		GRMZM2G460566	Chr8	159494160	159495366					Zm00001d011938	Chr8	164854178	164855277	Zm00001eb363700	chr8	166192379	166193583									
arftf25	103.36		GRMZM2G116557	Chr8	159641546	159646951					Zm00001d011953	Chr8	164990904	164996249	Zm00001eb363810	chr8	166327907	166334593									
hipp56	103.40		GRMZM2G054341	Chr8	159779066	159782088					Zm00001d011955	Chr8	165136441	165139490	Zm00001eb363820	chr8	166459084	166462312									
sdg118	103.42		GRMZM2G054380	Chr8	159782943	159797629					Zm00001d011956	Chr8	165140334	165155029	Zm00001eb363830	chr8	166463157	166477934									
umc1149	103.48		GRMZM2G105005	Chr8	159840596	159842605					Zm00001d011958	Chr8	165203502	165205430	Zm00001eb363840	chr8	166526385	166528537									
xt6	103.48		GRMZM2G000581	Chr8	159882529	159886221					Zm00001d011959	Chr8	165240608	165244472	Zm00001eb363850	chr8	166563521	166567041									
cl9888_1c	103.49		GRMZM2G134176	Chr8	159939841	159944716					Zm00001d011966	Chr8	165292236	165296943	Zm00001eb363890	chr8	166615087	166620188									
IDP2350	103.49		GRMZM2G134256	Chr8	159933300	159936282					Zm00001d011965	Chr8	165285679	165288425	Zm00001eb363880	chr8	166608507	166611483									
GRMZM2G134308	103.49		GRMZM2G134308	Chr8	159928036	159931508					Zm00001d011964	Chr8	165280380	165283828	Zm00001eb363870	chr8	166603297	166606794									
nactf9	103.50		GRMZM2G134073	Chr8	159967636	159969818					Zm00001d011969	Chr8	165320638	165322096	Zm00001eb363940	chr8	166643604	166644935									
si660073d12b	103.50		GRMZM2G433959	Chr8	159956919	159958269					Zm00001d011968	Chr8	165309282	165310605	Zm00001eb363920	chr8	166632187	166633529									
Zm00001eb363910	103.50		GRMZM2G134162	Chr8	159953865	159956930					Zm00001d011967	Chr8	165304523	165309412	Zm00001eb363910	chr8	166629133	166632749									
pat33	103.52		GRMZM2G433942	Chr8	159987625	159991190					Zm00001d011970	Chr8	165339966	165343531	Zm00001eb363950	chr8	166662891	166666456									
nbs23	103.60		GRMZM2G016802	Chr8	160073966	160077226					Zm00001d011972	Chr8	165426450	165430584	Zm00001eb363970	chr8	166749347	166753682									
LOC103637472	103.62		GRMZM2G571002	Chr8	160132190	160132309					Zm00001d011973	Chr8	165481681	165482996	Zm00001eb364000	chr8	166805496	166805924									
GRMZM2G147226	103.70		GRMZM2G447406	Chr8	160147438	160153338					Zm00001d011975	Chr8	165490510	165506030	Zm00001eb364010	chr8	166813363	166829420									
Zm00001eb364040	103.76														Zm00001eb364040	chr8	166862480	166865650									
LOC111589918	103.89										Zm00001d011979	Chr8	165566436	165576339	Zm00001eb364060	chr8	166889377	166891332									
LOC100281533	103.91										Zm00001d011979	Chr8	165566436	165576339	Zm00001eb364070	chr8	166891393	166899290									
AY109883	103.93		GRMZM2G312365	Chr8	160312581	160319673					Zm00001d011981	Chr8	165739738	165746851	Zm00001eb364080	chr8	167062696	167069798									
atg6b	103.96		GRMZM2G027857	Chr8	160472107	160477829					Zm00001d011984	Chr8	165880817	165889059	Zm00001eb364100	chr8	167203831	167209453									
tcptf20	104.00		GRMZM2G034638	Chr8	160527351	160529186					Zm00001d011985	Chr8	165936679	165937626	Zm00001eb364110	chr8	167259068	167260903									
bbc1	105.00		GRMZM2G145280	Chr8	160617135	160619687					Zm00001d011992	Chr8	166018999	166021525	Zm00001eb364190	chr8	167341728	167344659									
Zm00001d011993	105.02		GRMZM2G145496	Chr8	160627700	160629731					Zm00001d011993	Chr8	166037850	166039713	Zm00001eb364200	chr8	167354067	167362964									
si945014c11d	105.60		GRMZM2G064933	Chr8	160657863	160677028					Zm00001d011996	Chr8	166092023	166094834	Zm00001eb364220	chr8	167409542	167417874									
dnaj175	105.62		GRMZM2G064905	Chr8	160683690	160686383					Zm00001d011997	Chr8	166101521	166105262	Zm00001eb364230	chr8	167424536	167428260									
cl9362_1	106.00		GRMZM2G461793	Chr8	160736824	160742157					Zm00001d012003	Chr8	166200531	166205536	Zm00001eb364260	chr8	167518181	167523185									
AY107140	106.10		GRMZM2G423456	Chr8	160940043	160945942					Zm00001d012005	Chr8	166369165	166375273	Zm00001eb364280	chr8	167686851	167692959									
cl23324_1f	106.14		GRMZM2G359676	Chr8	160985587	160987621					Zm00001d012009	Chr8	166447108	166448872	Zm00001eb364300	chr8	167764613	167766603									
sbp18	106.80		GRMZM2G371033	Chr8	161072193	161075285					Zm00001d012015	Chr8	166514041	166517345	Zm00001eb364360	chr8	167831742	167836297									
si496009b01	106.81		GRMZM2G176638	Chr8	161091915	161094498					Zm00001d012016	Chr8	166534607	166536143	Zm00001eb364370	chr8	167851895	167854399									
LOC100282876	106.81		GRMZM2G100402	Chr8	161109668	161112947					Zm00001d012017	Chr8	166554917	166558182	Zm00001eb364380	chr8	167872640	167875900									
GRMZM2G003493	106.82		GRMZM2G003493	Chr8	161170684	161172595					Zm00001d012019	Chr8	166620718	166622319	Zm00001eb364400	chr8	167938417	167940326									
IDP7250	106.83		GRMZM2G180324	Chr8	161258877	161260779					Zm00001d012022	Chr8	166711119	166712722	Zm00001eb364420	chr8	168028702	168030608									
cl33496_1c	106.86		GRMZM2G180335	Chr8	161293943	161303399					Zm00001d012027	Chr8	166745975	166755465	Zm00001eb364470	chr8	168063725	168073297									
IDP8706	106.86		GRMZM2G481052	Chr8	161274601	161275983					Zm00001d012024	Chr8	166720734	166727134	Zm00001eb364460	chr8	168044981	168045807									
cl14716_1b	106.87		GRMZM2G180338	Chr8	161305001	161317965					Zm00001d012029	Chr8	166757788	166769178	Zm00001eb364480	chr8	168074497	168087008									
TIDP3731	106.88		GRMZM2G481103	Chr8	161328613	161332012					Zm00001d012030	Chr8	166780698	166784066	Zm00001eb364510	chr8	168098499	168101885									
sacd2	106.90		GRMZM2G180399	Chr8	161386924	161390467					Zm00001d012033	Chr8	166838901	166842661	Zm00001eb364580	chr8	168156720	168160453									
IDP4773	106.98		GRMZM2G013481	Chr8	161451515	161454431					Zm00001d012035	Chr8	166903610	166906333	Zm00001eb364610	chr8	168221299	168224297									
sps1	107.00		GRMZM5G875238	Chr8	161465833	161471194					Zm00001d012036	Chr8	166917606	166923260	Zm00001eb364620	chr8	168235401	168241054									
nudx29	107.02		GRMZM2G013060	Chr8	161476108	161479906					Zm00001d012037	Chr8	166928046	166931976	Zm00001eb364630	chr8	168245877	168246393									
cepr1	107.10		GRMZM2G032447	Chr8	161685068	161688463					Zm00001d012040	Chr8	167025708	167029182	Zm00001eb364640	chr8	168343134	168346778									
sumo1a	107.20		GRMZM2G053898	Chr8	161569233	161573399					Zm00001d012042	Chr8	167077414	167081392	Zm00001eb364660	chr8	168395052	168398634									
sumo1b	107.22		GRMZM2G082390	Chr8	161721257	161724576					Zm00001d012044	Chr8	167187771	167190749	Zm00001eb364680	chr8	168487075	168489891									
ring495	107.23		GRMZM2G082376	Chr8	161731930	161733080					Zm00001d012045	Chr8	167198280	167199179	Zm00001eb364690	chr8	168497397	168498815									
msp3	107.24		GRMZM2G107484	Chr8	161739951	161757351					Zm00001d012048	Chr8	167205232	167221108	Zm00001eb364720	chr8	168505092	168520490									
c3h49	107.25		GRMZM2G107491	Chr8	161770572	161775615					Zm00001d012049	Chr8	167234279	167239072	Zm00001eb364730	chr8	168533552	168538926									
pco106379	107.30		GRMZM2G042118	Chr8	161786423	161789002					Zm00001d012052	Chr8	167250646	167252718	Zm00001eb364750	chr8	168549947	168552147									
IDP8974	107.84		GRMZM2G031352	Chr8	162056448	162069286					Zm00001d012061	Chr8	167515702	167528413	Zm00001eb364820	chr8	168814976	168827925									
Zm00001eb364830	107.86		GRMZM2G031338	Chr8	162081613	162082861					Zm00001d012063	Chr8	167541167	167541802	Zm00001eb364830	chr8	168840242	168841635									
cl38842_-2b	107.88		GRMZM2G031204	Chr8	162084327	162088415					Zm00001d012064	Chr8	167543593	167547578	Zm00001eb364840	chr8	168844499	168847053									
bhlh55	107.90		GRMZM2G030762	Chr8	162106868	162110024					Zm00001d012067	Chr8	167566134	167569229	Zm00001eb364850	chr8	168865502	168869455									
psei10	108.00		GRMZM2G030717	Chr8	162128796	162129551					Zm00001d012068	Chr8	167588205	167588672	Zm00001eb364860	chr8	168887247	168888301									
stmg1	108.05		GRMZM2G170975	Chr8	162298840	162300167					Zm00001d012079	Chr8	167759340	167760532	Zm00001eb364920	chr8	169058676	169059931									
plt29	108.06		GRMZM2G170969	Chr8	162305491	162306120					Zm00001d012081	Chr8	167766216	167766518	Zm00001eb364940	chr8	169065441	169066013									
plt28	108.06		GRMZM2G471051	Chr8	162301494	162302297					Zm00001d012080	Chr8	167762381	167762689	Zm00001eb364930	chr8	169061391	169062240									
umc1728	108.07		GRMZM2G470942	Chr8	162335364	162337076									Zm00001eb364960	chr8	169095821	169100327									
