MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
umc2679	120.85		GRMZM2G073197	Chr2	206299883	206303548	Zm00001d006608	Chr2	212460728	212464470	Zm00001eb107050	chr2	212480459	212484122																																	
ppr128	120.86		GRMZM2G117988	Chr2	206369262	206370822	Zm00001d006609	Chr2	212548604	212549648	Zm00001eb107070	chr2	212547290	212547949																																	
GRMZM2G418415	120.87		GRMZM2G418415	Chr2	206376607	206378103	Zm00001d006611	Chr2	212555875	212556879	Zm00001eb107090	chr2	212553921	212555498																																	
prh115	120.90		GRMZM2G021610	Chr2	206450612	206462851	Zm00001d006614	Chr2	212621606	212642194	Zm00001eb107130	chr2	212630207	212640699																																	
nactf148	120.92		GRMZM2G000640	Chr2	206498601	206499473	Zm00001d006616	Chr2	212679152	212680064	Zm00001eb107140	chr2	212677636	212678542																																	
Zm00001eb107150	120.94		GRMZM2G319375	Chr2	206507648	206508569	Zm00001d006617	Chr2	212688199	212689120	Zm00001eb107150	chr2	212686530	212687451																																	
c3h15	121.00		GRMZM2G099622	Chr2	206567610	206570522	Zm00001d006619	Chr2	212747709	212749721	Zm00001eb107170	chr2	212745452	212748542																																	
si486101c02	121.10		GRMZM2G099463	Chr2	206585755	206589123	Zm00001d006620	Chr2	212765615	212768754	Zm00001eb107180	chr2	212763593	212767087																																	
cdpk32	121.20		GRMZM2G099425	Chr2	206590670	206594333	Zm00001d006621	Chr2	212770259	212774000	Zm00001eb107190	chr2	212768592	212772333																																	
umc2562	121.22		GRMZM2G099295	Chr2	206607450	206608855	Zm00001d006623	Chr2	212787428	212788423	Zm00001eb107200	chr2	212785234	212787064																																	
Zm00001d006627	121.52		GRMZM2G060271	Chr2	206709745	206711871	Zm00001d006627	Chr2	212876418	212878508	Zm00001eb107240	chr2	212875251	212876868																																	
si603017e03a	121.54		GRMZM2G360517	Chr2	206714271	206724967	Zm00001d006628	Chr2	212884832	212891787	Zm00001eb107250	chr2	212882204	212890641																																	
mterf8	121.60		GRMZM2G060114	Chr2	206785654	206788258	Zm00001d006629	Chr2	212952452	212953621	Zm00001eb107280	chr2	212950651	212953283																																	
GRMZM2G060011	121.62		GRMZM2G060011	Chr2	206790797	206793971	Zm00001d006630	Chr2	212957241	212960644	Zm00001eb107290	chr2	212955510	212959060																																	
LOC100381982	121.63		GRMZM2G087479	Chr2	206880681	206884674	Zm00001d006631	Chr2	213061633	213065626	Zm00001eb107320	chr2	213050055	213064093																																	
cl61832_1	121.64		GRMZM2G087462	Chr2	206893260	206894615	Zm00001d006633	Chr2	213074030	213075424																																					
nactf158	121.65		GRMZM2G341601	Chr2	206913605	206914079	Zm00001d006636	Chr2	213094472	213094870	Zm00001eb107340	chr2	213092942	213093340																																	
NM_001152492	121.66		GRMZM2G042660	Chr2	206919840	206923574	Zm00001d006638	Chr2	213100782	213104544	Zm00001eb107350	chr2	213099247	213103030																																	
LOC103647764	121.96		GRMZM5G830178	Chr2	207043606	207047405	Zm00001d006641	Chr2	213268400	213271467	Zm00001eb107380	chr2	213268626	213269413																																	
mkkk27	122.00		GRMZM2G089159	Chr2	207080135	207083546	Zm00001d006644	Chr2	213304600	213307872	Zm00001eb107400	chr2	213303119	213306430																																	
Zm00001d006645	122.04		GRMZM2G327406	Chr2	207153243	207160798	Zm00001d006645	Chr2	213336145	213343661	Zm00001eb107420	chr2	213334686	213342146																																	
LOC103647767	122.06		GRMZM2G032154	Chr2	207161546	207162333	Zm00001d006646	Chr2	213344616	213344981	Zm00001eb107430	chr2	213342761	213343835																																	
Zm00001d006647	122.07		GRMZM2G032042	Chr2	207163034	207166271	Zm00001d006647	Chr2	213345740	213349165	Zm00001eb107440	chr2	213344153	213347693																																	
GRMZM2G031945	122.10		GRMZM2G031945	Chr2	207174610	207175102																																									
cl604_2a	122.38		GRMZM2G137864	Chr2	207242499	207243083	Zm00001d006650	Chr2	213435367	213435501	Zm00001eb107480	chr2	213433584	213434277																																	
tua5	122.40		GRMZM2G099167	Chr2	207291939	207295620	Zm00001d006651	Chr2	213473849	213477743	Zm00001eb107490	chr2	213472336	213475902																																	
ereb62	122.50		GRMZM2G011236	Chr2	207364254	207365473	Zm00001d006653	Chr2	213547650	213548585	Zm00001eb107500	chr2	213545898	213547144																																	
Zm00001eb107510	122.52		GRMZM2G310868	Chr2	207378576	207416955	Zm00001d006655	Chr2	213598244	213599105	Zm00001eb107510	chr2	213596551	213597063																																	
w3	122.70		GRMZM2G113476	Chr2	207511263	207527338	Zm00001d006657	Chr2	213698948	213714990	Zm00001eb107520	chr2	213697405	213713477																																	
pdcb15	122.72		GRMZM2G113420	Chr2	207554380	207562264	Zm00001d006658	Chr2	213741901	213749883	Zm00001eb107530	chr2	213740549	213748495																																	
IDP7949	122.80		GRMZM2G113396	Chr2	207562995	207566626					Zm00001eb107540	chr2	213749154	213752725																																	
lhca1	122.90		GRMZM2G038519	Chr2	207611861	207618663	Zm00001d006663	Chr2	213805344	213811979	Zm00001eb107560	chr2	213803967	213810604																																	
dnaJ30	122.96		GRMZM2G337845	Chr2	207687968	207695572	Zm00001d006666	Chr2	213886498	213889409	Zm00001eb107580	chr2	213881529	213887745																																	
LOC100283329	122.98		GRMZM2G039251	Chr2	207695919	207702116	Zm00001d006667	Chr2	213889759	213895829	Zm00001eb107590	chr2	213888341	213894422																																	
mads17	123.00		GRMZM2G337892	Chr2	207704174	207705556	Zm00001d006668	Chr2	213897891	213899273	Zm00001eb107600	chr2	213896481	213897863																																	
sbt2	123.01		GRMZM2G039538	Chr2	207706084	207708708	Zm00001d006669	Chr2	213900069	213902405	Zm00001eb107610	chr2	213898425	213901015																																	
mmp84	124.00		GRMZM2G121458	Chr2	207810853	207824649	Zm00001d006673	Chr2	214011828	214022318	Zm00001eb107640	chr2	214010546	214020973																																	
ftcl2	124.01		GRMZM5G807835	Chr2	207884012	207887554	Zm00001d006676	Chr2	214080797	214084763	Zm00001eb107660	chr2	214079396	214083329																																	
bzr7	124.02		AC194970.5_FG002	Chr2	207890126	207891291	Zm00001d006677	Chr2	214086849	214088343	Zm00001eb107670	chr2	214085348	214087113																																	
ggps1	124.04		AC194970.5_FG001	Chr2	207900564	207901904	Zm00001d006678	Chr2	214097373	214099059	Zm00001eb107690	chr2	214095835	214097736																																	
cl19120_1a	124.08		AC194970.5_FG009	Chr2	207929473	207932536	Zm00001d006680	Chr2	214127131	214130597	Zm00001eb107710	chr2	214125711	214129168																																	
idd8	124.12		GRMZM2G022213	Chr2	208042001	208045546	Zm00001d006682	Chr2	214231999	214235313	Zm00001eb107730	chr2	214230355	214234172																																	
LOC100217238	124.16		GRMZM2G022242	Chr2	208048560	208050345	Zm00001d006683	Chr2	214238548	214240310	Zm00001eb107750	chr2	214236761	214238763																																	
LOC100284228	124.18		GRMZM2G022266	Chr2	208064065	208065775	Zm00001d006684	Chr2	214241634	214255713	Zm00001eb107760	chr2	214252312	214254275																																	
hb107	124.70		GRMZM2G062244	Chr2	208276499	208277537	Zm00001d006687	Chr2	214450310	214451531	Zm00001eb107800	chr2	214429546	214430812																																	
LOC100273244	124.71		GRMZM2G062156	Chr2	208298569	208300747	Zm00001d006688	Chr2	214472464	214474594	Zm00001eb107810	chr2	214451753	214453904																																	
sdg47	124.74		GRMZM2G358121	Chr2	208325497	208328479	Zm00001d006693	Chr2	214499678	214501297	Zm00001eb107850	chr2	214479081	214479460																																	
si603031f05b	124.76		GRMZM2G358102	Chr2	208348977	208350095	Zm00001d006696	Chr2	214523110	214524368	Zm00001eb107860	chr2	214502348	214502900																																	
Zm00001eb107870	124.77		GRMZM2G024708	Chr2	208361755	208363896	Zm00001d006697	Chr2	214535457	214537722	Zm00001eb107870	chr2	214514679	214517087																																	
mterf9	124.80		GRMZM2G130773	Chr2	208493066	208496996	Zm00001d006700	Chr2	214673600	214677670	Zm00001eb107900	chr2	214652841	214656989																																	
gras75	124.83		GRMZM2G431309	Chr2	208500828	208504903	Zm00001d006701	Chr2	214683529	214685193	Zm00001eb107910	chr2	214660681	214665707																																	
wrky116	124.84		GRMZM2G130854	Chr2	208504961	208511327	Zm00001d006702	Chr2	214685549	214691851	Zm00001eb107920	chr2	214664832	214671196																																	
Zm00001eb107930	124.85		GRMZM2G014400	Chr2	208619257	208631187	Zm00001d006704	Chr2	214784265	214791106	Zm00001eb107930	chr2	214763553	214770570																																	
arm20	124.86		GRMZM2G112954	Chr2	208638182	208640818	Zm00001d006705	Chr2	214797523	214800816	Zm00001eb107940	chr2	214776952	214780200																																	
pco113923a	124.87		GRMZM2G034764	Chr2	208743159	208745513	Zm00001d006708	Chr2	214892586	214893899	Zm00001eb107970	chr2	214871166	214873743																																	
LOC103649283	124.88		GRMZM2G105312	Chr2	208798927	208801265	Zm00001d006712	Chr2	215015489	215016952	Zm00001eb108000	chr2	214994956	214996423																																	
LOC100193844	124.91		GRMZM2G105207	Chr2	208787240	208793283	Zm00001d006714	Chr2	215023176	215029253	Zm00001eb108030	chr2	215002742	215008710																																	
sae2	124.94		GRMZM2G129575	Chr2	208887428	208891800	Zm00001d006717	Chr2	215049468	215062063	Zm00001eb108060	chr2	215028858	215041631																																	
gras85	125.00		GRMZM2G019060	Chr2	209040871	209042963	Zm00001d006721	Chr2	215252093	215253853	Zm00001eb108090	chr2	215231254	215234153																																	
LOC100272775	125.04		GRMZM2G090274	Chr2	209195057	209199581	Zm00001d006725	Chr2	215366113	215367426	Zm00001eb108120	chr2	215344988	215349652																																	
cl51637_1	125.10		GRMZM2G007060	Chr2	209238835	209244128	Zm00001d006731	Chr2	215409294	215414488	Zm00001eb108170	chr2	215388852	215394035																																	
bhlh147	125.20		GRMZM2G383841	Chr2	209280712	209282012	Zm00001d006733	Chr2	215451653	215453055	Zm00001eb108190	chr2	215431305	215432785																																	
LOC100193090	125.36		GRMZM5G823629	Chr2	209333318	209338308	Zm00001d006737	Chr2	215597634	215602683	Zm00001eb108220	chr2	215577192	215582151																																	
IDP7184	125.38		GRMZM5G824534	Chr2	209509731	209515534	Zm00001d006738	Chr2	215635319	215641061	Zm00001eb108230	chr2	215614692	215621054																																	
lbd14	125.40		GRMZM2G177110	Chr2	209518630	209519766	Zm00001d006739	Chr2	215644201	215645366	Zm00001eb108240	chr2	215623667	215624982																																	
gras73	125.70		GRMZM2G125501	Chr2	209545748	209547741	Zm00001d006744	Chr2	215722019	215723389	Zm00001eb108250	chr2	215700930	215703877																																	
Zm00001d006745	125.72		GRMZM2G137252	Chr2	209602323	209603124	Zm00001d006745	Chr2	215776854	215777612	Zm00001eb108260	chr2	215756791	215757283																																	
gsl9	125.77		GRMZM2G077845	Chr2	209674797	209675628	Zm00001d006750	Chr2	215851864	215852764	Zm00001eb108300	chr2	215831453	215832347																																	
si605094e02a	125.80		GRMZM2G175718	Chr2	209683275	209689963	Zm00001d006752	Chr2	215862950	215869018	Zm00001eb108320	chr2	215842662	215848750																																	
aas2	125.90		GRMZM2G378106	Chr2	209775090	209777671	Zm00001d006753	Chr2	215957135	215959705	Zm00001eb108330	chr2	215936630	215939393																																	
A0A1D6F077	125.92		GRMZM2G079067	Chr2	209783968	209784579	Zm00001d006754	Chr2	215966072	215966626	Zm00001eb108340	chr2	215945730	215946561																																	
GRMZM2G079082	125.93		GRMZM2G079082	Chr2	209789141	209793322	Zm00001d006755	Chr2	215971156	215975172	Zm00001eb108350	chr2	215950789	215955047																																	
pat12	125.97		GRMZM2G040230	Chr2	209860388	209888481	Zm00001d006757	Chr2	216050123	216061504	Zm00001eb108370	chr2	216029814	216041186																																	
GRMZM2G414002	125.98		GRMZM2G414002	Chr2	209912714	209928000	Zm00001d006758	Chr2	216069791	216101183	Zm00001eb108390	chr2	216067921	216080910																																	
umc2005	125.99		GRMZM2G113512	Chr2	209942984	209948407	Zm00001d006759	Chr2	216115940	216121521	Zm00001eb108400	chr2	216094940	216101492																																	
eif5a	126.00		GRMZM2G113696	Chr2	209954275	209957586	Zm00001d006760	Chr2	216127454	216130302	Zm00001eb108410	chr2	216107097	216109974																																	
pco129375	126.04		GRMZM2G115817	Chr2	209964825	209968630	Zm00001d006761	Chr2	216138693	216139439	Zm00001eb108420	chr2	216117515	216121355																																	
pco061809	126.10		GRMZM2G146292	Chr2	210001754	210009790	Zm00001d006762	Chr2	216182843	216190912	Zm00001eb108430	chr2	216162506	216170694																																	
cl31766_1	126.14		GRMZM2G146416	Chr2	210014359	210019199	Zm00001d006763	Chr2	216196344	216200236	Zm00001eb108440	chr2	216176048	216179240																																	
AC233952.1_FG008	126.28		AC233952.1_FG008	Chr2	210142585	210143733	Zm00001d006768	Chr2	216335689	216336837	Zm00001eb108460	chr2	216315205	216316924																																	
ppr129	126.30		GRMZM5G873123	Chr2	210160360	210163197	Zm00001d006769	Chr2	216348138	216356341	Zm00001eb108470	chr2	216327990	216336124																																	
AY109583	126.85																																														
bnlg1233	127.30																																														
umc137a	127.40		GRMZM2G016106	Chr2	210170832	210173397	Zm00001d006771	Chr2	216363908	216366486	Zm00001eb108490	chr2	216343669	216346290																																	
pdcb16	127.96		GRMZM2G036752	Chr2	210248720	210269597	Zm00001d006777	Chr2	216441175	216443099	Zm00001eb108530	chr2	216420729	216422876																																	
vte7a	128.00		GRMZM5G898684	Chr2	210251265	210274850	Zm00001d006778	Chr2	216443683	216448352	Zm00001eb108550	chr2	216423355	216447302																																	
vte7b	128.00		GRMZM5G898684	Chr2	210251265	210274850	Zm00001d006779	Chr2	216462633	216467303	Zm00001eb108550	chr2	216423355	216447302																																	
pdcb17	128.02										Zm00001eb108560	chr2	216440423	216441689																																	
hda109	128.10		GRMZM2G457889	Chr2	210299363	210310868	Zm00001d006780	Chr2	216491788	216503386	Zm00001eb108570	chr2	216471602	216483107																																	
cl44900_1	128.94		GRMZM2G164325	Chr2	210485382	210487200	Zm00001d006788	Chr2	216679787	216681518	Zm00001eb108600	chr2	216659072	216660797																																	
AI668346	128.95		GRMZM2G464000	Chr2	210487633	210500912	Zm00001d006789	Chr2	216680792	216695299	Zm00001eb108610	chr2	216661557	216674624																																	
mpk21	129.50		GRMZM2G017351	Chr2	210584713	210592622	Zm00001d006790	Chr2	216755232	216764301	Zm00001eb108620	chr2	216734646	216743750																																	
mybr29	129.70		AC199820.4_FG006	Chr2	210594735	210595406	Zm00001d006791	Chr2	216766315	216767167	Zm00001eb108630	chr2	216745514	216746554																																	
si946043a11	129.80		GRMZM2G043174	Chr2	210693078	210696432	Zm00001d006794	Chr2	216884923	216888186	Zm00001eb108650	chr2	216864235	216867584																																	
pco144726	129.82		GRMZM2G339994	Chr2	210699275	210701247	Zm00001d006796	Chr2	216891193	216892807	Zm00001eb108670	chr2	216870555	216872404																																	
IDP363	129.83		GRMZM2G042981	Chr2	210700918	210724745	Zm00001d006797	Chr2	216892700	216916575	Zm00001eb108680	chr2	216872092	216896022																																	
chr12	129.90		GRMZM2G102625	Chr2	210742547	210760415	Zm00001d006798	Chr2	216935090	216965652	Zm00001eb108690	chr2	216914391	216945232																																	
Zm00001eb108700	129.92		GRMZM5G812707	Chr2	210826451	210827896					Zm00001eb108700	chr2	216986357	216989352																																	
hipp24	129.96		GRMZM2G564586	Chr2	211037628	211040938	Zm00001d006810	Chr2	217184842	217189250	Zm00001eb108730	chr2	217151525	217168748																																	
tla1	130.00										Zm00001eb108770	chr2	217183653	217184287																					Zm00008a009742	chr2	214970306	214971076									
cadtfr6	130.00		GRMZM2G180947	Chr2	211052666	211054021	Zm00001d006813	Chr2	217201427	217202044	Zm00001eb108760	chr2	217180639	217181883																																	
stt1	130.00																																														
LOC103647830	130.09		GRMZM5G830681	Chr2	211108321	211111657	Zm00001d006820	Chr2	217255984	217259555	Zm00001eb108800	chr2	217235275	217239098																																	
phi435417	130.13		GRMZM2G321404	Chr2	211116188	211120201	Zm00001d006821	Chr2	217263983	217264651	Zm00001eb108820	chr2	217243306	217247578																																	
ppr130	130.15		GRMZM2G021567	Chr2	211135037	211138659	Zm00001d006822	Chr2	217284796	217286250	Zm00001eb108830	chr2	217261372	217265891																																	
ptr8	130.20		AC205608.4_FG004	Chr2	211193697	211195702	Zm00001d006823	Chr2	217339262	217343335	Zm00001eb108840	chr2	217319532	217323155																																	
Zm00001d006828	130.25		GRMZM2G043489	Chr2	211307081	211313098	Zm00001d006828	Chr2	217457356	217462858	Zm00001eb108890	chr2	217436946	217442495																																	
Zm00001d006834	130.28		GRMZM2G040618	Chr2	211447136	211453321	Zm00001d006834	Chr2	217589644	217595800	Zm00001eb108920	chr2	217569339	217575580																																	
ca2p4	130.30		GRMZM2G040349	Chr2	211453451	211457855	Zm00001d006835	Chr2	217595882	217600202	Zm00001eb108930	chr2	217575734	217579941																																	
umc2784	130.32		GRMZM2G412888	Chr2	211499139	211504940	Zm00001d006836	Chr2	217641585	217647383	Zm00001eb108940	chr2	217621306	217627160																																	
GRMZM2G111809	130.34		GRMZM2G111809	Chr2	211520213	211524009	Zm00001d006837	Chr2	217662701	217666477	Zm00001eb108950	chr2	217642482	217646336																																	
pco110680	130.35		GRMZM2G111614	Chr2	211539038	211544641	Zm00001d006839	Chr2	217681488	217687032	Zm00001eb108960	chr2	217661200	217666806																																	
acr9	130.37		GRMZM2G096123	Chr2	211620952	211624342	Zm00001d006844	Chr2	217764077	217767438	Zm00001eb109020	chr2	217743814	217745961																																	
impb19	130.38		GRMZM2G096106	Chr2	211627351	211634807	Zm00001d006845	Chr2	217770387	217778785	Zm00001eb109040	chr2	217750018	217758561																																	
umc1947	130.39																																														
mybr5	130.40		GRMZM2G401809	Chr2	211646121	211647607	Zm00001d006848	Chr2	217790789	217797756	Zm00001eb109050	chr2	217770524	217771223																																	
Zm00001eb109100	130.45		GRMZM2G101168	Chr2	211685139	211690411	Zm00001d006851	Chr2	217829796	217834908	Zm00001eb109100	chr2	217809635	217814747																																	
stsl5	130.46		GRMZM2G101142	Chr2	211692533	211694697	Zm00001d006853	Chr2	217837030	217839194	Zm00001eb109110	chr2	217816827	217819302																																	
ppr131	130.52		GRMZM2G358381	Chr2	211821634	211835884	Zm00001d006856	Chr2	217976403	217978586	Zm00001eb109140	chr2	217953019	217965311																																	
iaa49	130.78		GRMZM2G121079	Chr2	211856859	211874649	Zm00001d006859	Chr2	218012861	218015536	Zm00001eb109180	chr2	217993093	217995851																																	
zim12	130.80		GRMZM2G101769	Chr2	211875346	211877961	Zm00001d006860	Chr2	218018545	218021082	Zm00001eb109190	chr2	217998376	218000989																																	
aldh30	130.84		GRMZM2G398633	Chr2	211938240	211939841					Zm00001eb109250	chr2	218060944	218062313																																	
pco061491	130.86		GRMZM2G098859	Chr2	211945554	211955020	Zm00001d006864	Chr2	218087911	218097868	Zm00001eb109270	chr2	218067720	218077759																																	
umc1604	130.88		GRMZM2G109120	Chr2	212009567	212011263	Zm00001d006865	Chr2	218158310	218159847	Zm00001eb109280	chr2	218138028	218139688																																	
pco121523	130.90		GRMZM2G124335	Chr2	212060115	212065168	Zm00001d006866	Chr2	218206668	218211567	Zm00001eb109290	chr2	218186498	218191391																																	
B4FZ84	130.98		GRMZM2G159237	Chr2	212162733	212165780	Zm00001d006871	Chr2	218309398	218312057	Zm00001eb109330	chr2	218289227	218291888																																	
LOC114133148	131.62		GRMZM2G159210	Chr2	212170190	212170756	Zm00001d006873	Chr2	218316852	218317418	Zm00001eb109350	chr2	218296447	218297568																																	
Zm00001d006874	131.64		GRMZM2G125004	Chr2	212176609	212178599	Zm00001d006874	Chr2	218323951	218325168	Zm00001eb109360	chr2	218303111	218305164																																	
alt10	131.66		GRMZM2G124963	Chr2	212180526	212185824	Zm00001d006875	Chr2	218327505	218332462	Zm00001eb109370	chr2	218307337	218312687																																	
LOC103649308	131.67		GRMZM2G124919	Chr2	212198406	212202953	Zm00001d006877	Chr2	218344704	218346675	Zm00001eb109380	chr2	218324662	218326466																																	
ring156	131.67		GRMZM2G358987	Chr2	212254890	212256304	Zm00001d006879	Chr2	218402879	218403637	Zm00001eb109400	chr2	218382495	218383676																																	
cl33905_1a	131.68										Zm00001eb109420	chr2	218442627	218443620																																	
Zm00001eb109440	131.68		GRMZM2G031143	Chr2	212325421	212328048	Zm00001d006881	Chr2	218466765	218475876	Zm00001eb109440	chr2	218451265	218455797																																	
phlp1	131.69		GRMZM2G336975	Chr2	212330596	212333901	Zm00001d006882	Chr2	218478425	218478715	Zm00001eb109460	chr2	218458345	218458635																																	
Zm00001eb109480	131.69		GRMZM2G056467	Chr2	212386996	212388332	Zm00001d006883	Chr2	218526912	218527958	Zm00001eb109480	chr2	218506584	218508145																																	
cdrk5	131.70		GRMZM2G056612	Chr2	212397896	212403878	Zm00001d006885	Chr2	218537811	218543707	Zm00001eb109500	chr2	218517625	218523738																																	
GRMZM2G056564	131.70		GRMZM2G056564	Chr2	212391018	212396581	Zm00001d006884	Chr2	218530917	218536475	Zm00001eb109490	chr2	218510575	218516693																																	
ami1	131.80		GRMZM2G169087	Chr2	212435372	212438521	Zm00001d006886	Chr2	218575862	218578925	Zm00001eb109510	chr2	218555687	218559042																																	
LOC100281352	131.82		GRMZM2G473533	Chr2	212456646	212461564	Zm00001d006889	Chr2	218597203	218602040	Zm00001eb109520	chr2	218577027	218581965																																	
cl150_1b	131.96										Zm00001eb109590	chr2	218922319	218923074																																	
rps6b	132.00		GRMZM5G851698	Chr2	212801569	212804466	Zm00001d006899	Chr2	218944332	218947142	Zm00001eb109610	chr2	218923773	218926565																																	
TIDP3152	132.25		GRMZM2G077823	Chr2	213013815	213018729	Zm00001d006906	Chr2	219167948	219172957	Zm00001eb109680	chr2	219147404	219152242																																	
bnlg1316	132.30		GRMZM2G086805	Chr2	213026313	213031535	Zm00001d006907	Chr2	219180628	219186031	Zm00001eb109690	chr2	219160197	219165537																																	
trpp3	132.80		GRMZM2G117564	Chr2	213142636	213145421	Zm00001d006913	Chr2	219293809	219297189	Zm00001eb109730	chr2	219273310	219276732																																	
plt41	132.84		GRMZM2G416935	Chr2	213150952	213151542	Zm00001d006915	Chr2	219302995	219303417	Zm00001eb109750	chr2	219281730	219283212																																	
LOC100191746	132.98		GRMZM2G162781	Chr2	213192905	213197565	Zm00001d006917	Chr2	219340252	219344852	Zm00001eb109780	chr2	219319810	219324349																																	
ham101	133.00		GRMZM2G044126	Chr2	213200911	213205830	Zm00001d006918	Chr2	219348782	219353657	Zm00001eb109790	chr2	219328012	219333245																																	
LOC100273655	133.02		GRMZM2G044175	Chr2	213209320	213212761	Zm00001d006920	Chr2	219357056	219360575	Zm00001eb109800	chr2	219336497	219340157																																	
myb7	133.10		GRMZM2G064630	Chr2	213301143	213305674	Zm00001d006922	Chr2	219448057	219452768	Zm00001eb109820	chr2	219427428	219432383																																	
LOC100283332	133.12		GRMZM2G064640	Chr2	213309486	213312385	Zm00001d006924	Chr2	219456302	219459200	Zm00001eb109830	chr2	219435882	219438778																																	
myb70	133.16		GRMZM2G139284	Chr2	213409017	213410688					Zm00001eb109860	chr2	219520230	219521902																																	
LOC100282641	133.19		GRMZM2G141510	Chr2	213468634	213472880	Zm00001d006929	Chr2	219600960	219605500	Zm00001eb109880	chr2	219580300	219585119																																	
TIDP3543	133.20		GRMZM2G075744	Chr2	213473471	213474651	Zm00001d006930	Chr2	219607348	219608151	Zm00001eb109890	chr2	219585475	219587903																																	
prx19	133.24		GRMZM2G044049	Chr2	213518053	213519504	Zm00001d006933	Chr2	219651816	219653211	Zm00001eb109910	chr2	219631480	219632780																																	
LOC103649315	133.28						Zm00001d006935	Chr2	219711029	219711547	Zm00001eb109930	chr2	219690605	219691171																																	
prx18	133.32		GRMZM2G029144	Chr2	213656022	213663491	Zm00001d006936	Chr2	219725578	219733085	Zm00001eb109950	chr2	219711682	219712660																																	
hasp1	133.35		GRMZM2G102944	Chr2	213748522	213761946	Zm00001d006938	Chr2	219878672	219891411	Zm00001eb109970	chr2	219858338	219870826																																	
Zm00001eb109960	133.35		GRMZM2G156257	Chr2	213737681	213739168	Zm00001d006937	Chr2	219871994	219873518	Zm00001eb109960	chr2	219851662	219853176																																	
IDP7317	133.37		GRMZM2G102903	Chr2	213761672	213764919	Zm00001d006939	Chr2	219891537	219894633	Zm00001eb109980	chr2	219870616	219874644																																	
dnaJ31	133.40		GRMZM5G812660	Chr2	213826876	213828316	Zm00001d006942	Chr2	219961891	219963389	Zm00001eb110000	chr2	219940446	219943284																																	
ppr133	133.42		GRMZM2G703373	Chr2	213828638	213830365	Zm00001d006943	Chr2	219963606	219965438	Zm00001eb110010	chr2	219943171	219949148																																	
cipk21	133.98		GRMZM2G075002	Chr2	213830471	213835107	Zm00001d006944	Chr2	219965544	219970180	Zm00001eb110020	chr2	219944804	219949850																																	
gbptf6	134.00		GRMZM2G075122	Chr2	213839868	213841452	Zm00001d006945	Chr2	219975248	219976357	Zm00001eb110030	chr2	219950476	219956203																																	
cyp69	134.00		GRMZM2G075244	Chr2	213854718	213857130	Zm00001d006947	Chr2	219989864	219991904	Zm00001eb110040	chr2	219969460	219971574																																	
cyp70	134.01		GRMZM2G075461	Chr2	213866059	213868082	Zm00001d006948	Chr2	220001132	220004557	Zm00001eb110050	chr2	219980803	219982951																																	
LOC100280205	134.02		GRMZM2G119745	Chr2	214058737	214079057	Zm00001d007009	Chr2	220126541	220146855	Zm00001eb110080	chr2	220106217	220126589																																	
nbs44	134.06		GRMZM2G354013	Chr2	213970923	213974319	Zm00001d007016	Chr2	220205771	220217691	Zm00001eb110140	chr2	220185123	220197261																																	
