Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence	source_file	map_id	linkage_group	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end
baf1	46.00		GRMZM2G072274	Chr9	21976903	21978472					Zm00001d045427	Chr9	21786350	21787375	Zm00001eb377840	chr9	23817132	23818658																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
AY105451	46.30		GRMZM2G148106	Chr9	22066396	22069582					Zm00001d045430	Chr9	21877799	21880928	Zm00001eb377860	chr9	23908730	23911916																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
eno1	46.40		GRMZM2G064302	Chr9	22112240	22116928					Zm00001d045431	Chr9	21923413	21927989	Zm00001eb377870	chr9	23954465	23959087																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
Zm00001eb377890	46.44		GRMZM5G891698	Chr9	22174424	22175473					Zm00001d045433	Chr9	21985593	21989322	Zm00001eb377890	chr9	24018052	24019569																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
rps22a	46.68		GRMZM2G092296	Chr9	22666627	22668837					Zm00001d045448	Chr9	22516151	22518341	Zm00001eb378000	chr9	24535506	24537679																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
umc2213	46.70		GRMZM5G830776	Chr9	22246072	22261846					Zm00001d045434	Chr9	22058783	22075336	Zm00001eb377900	chr9	24089663	24106381																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100272330	46.84		GRMZM2G097313	Chr9	22489480	22493454					Zm00001d045445	Chr9	22317370	22321410	Zm00001eb377970	chr9	24348401	24352446																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ofp45	46.98		GRMZM5G847362	Chr9	22685607	22687081					Zm00001d045449	Chr9	22536034	22536339	Zm00001eb378010	chr9	24555390	24555893																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
TB-9Sb(9)	47.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
eps1	47.00		GRMZM5G877500	Chr9	22689315	22692638					Zm00001d045450	Chr9	22538569	22542325	Zm00001eb378020	chr9	24558170	24561990																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
tk1	47.02		GRMZM2G033208	Chr9	22790749	22795294					Zm00001d045451	Chr9	22640913	22645485	Zm00001eb378030	chr9	24660219	24664894																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
lim286	47.53																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
Zm00001d045458	47.83		GRMZM2G019356	Chr9	23156742	23158500					Zm00001d045458	Chr9	23018536	23019558	Zm00001eb378090	chr9	25037337	25039244																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
wx1	47.93		GRMZM2G024993	Chr9	23267684	23271612					Zm00001d045462	Chr9	23107329	23111318	Zm00001eb378140	chr9	25126804	25130688																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
nactf86	47.97		GRMZM2G171395	Chr9	23290000	23294805					Zm00001d045463	Chr9	23151861	23156737	Zm00001eb378150	chr9	25172386	25177273																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T6-9b(9)	48.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T9-10(8630)(9)	48.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T9-10(059-10)(9)	48.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T5-9(4871)(9)	48.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T8-9(043-6)(9)	48.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T8-9(5300)(9)	48.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
lag1	48.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
umc1634	48.30		GRMZM2G121333	Chr9	23466257	23469699					Zm00001d045468	Chr9	23320699	23323957	Zm00001eb378200	chr9	25341173	25344721																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
adc1	48.93		GRMZM2G396553	Chr9	23537710	23541078					Zm00001d045470	Chr9	23397355	23399439	Zm00001eb378210	chr9	25416798	25420286																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC103638137	48.98		GRMZM2G118355	Chr9	23748488	23750278					Zm00001d045475	Chr9	23614389	23615400	Zm00001eb378250	chr9	25634895	25636013																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
TIDP9202	49.00		GRMZM2G118687	Chr9	23764804	23765884					Zm00001d045476	Chr9	23630223	23631293	Zm00001eb378260	chr9	25650675	25651837																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
bbr4	49.01		GRMZM2G118690	Chr9	23765880	23771224					Zm00001d045477	Chr9	23631215	23636103	Zm00001eb378270	chr9	25651269	25657190																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
hon104a	49.10		GRMZM2G069911	Chr9	23826467	23827831					Zm00001d045478	Chr9	23695040	23695864	Zm00001eb378280	chr9	25714998	25716434																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
acs3	49.50		GRMZM2G018006	Chr9	23963178	23966958					Zm00001d045479	Chr9	23842376	23846471	Zm00001eb378320	chr9	25866238	25866896																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100277115	49.52		GRMZM2G083012	Chr9	24059878	24073016					Zm00001d045480	Chr9	23973732	23986870	Zm00001eb378330	chr9	25960964	25974736																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
er3	49.90		GRMZM2G082855	Chr9	24074354	24081173					Zm00001d045481	Chr9	23988206	23995123	Zm00001eb378340	chr9	25975587	25982505																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC103638140	49.90		GRMZM2G122135	Chr9	24155549	24162364					Zm00001d045482	Chr9	24090957	24097860	Zm00001eb378360	chr9	26078343	26085310																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100273408	49.90		GRMZM2G122061	Chr9	24162915	24169628					Zm00001d045483	Chr9	24098474	24105032	Zm00001eb378370	chr9	26085834	26092465																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
Zm00001d045487	49.90		GRMZM2G370155	Chr9	24344507	24346244					Zm00001d045487	Chr9	24295708	24297208	Zm00001eb378390	chr9	26283123	26284722																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
nudx32	49.91		GRMZM2G069008	Chr9	24346280	24373435					Zm00001d045488	Chr9	24297419	24304483	Zm00001eb378400	chr9	26284824	26291944																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
traf2	49.91		GRMZM2G000909	Chr9	24491863	24494711					Zm00001d045494	Chr9	24432148	24433452	Zm00001eb378460	chr9	26418266	26421506																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ring508	49.91		GRMZM2G006973	Chr9	24608188	24611401					Zm00001d045499	Chr9	24598570	24601963	Zm00001eb378520	chr9	26586126	26589478																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
spx10	49.91		GRMZM2G050329	Chr9	24473175	24478967					Zm00001d045491	Chr9	24412254	24419923	Zm00001eb378430	chr9	26399586	26406430																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ppr469	49.91		GRMZM2G350319	Chr9	24481791	24487428					Zm00001d045492	Chr9	24420777	24426027	Zm00001eb378440	chr9	26408287	26413905																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100278704	49.91		GRMZM2G050333	Chr9	24467704	24470325					Zm00001d045490	Chr9	24406700	24409358	Zm00001eb378420	chr9	26394203	26396821																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
miR399j	49.91		zma-MIR399j	Chr9	24378460	24378634					zma-MIR399j	Chr9	24309478	24309652																						maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
Zm00001eb378510	49.91		GRMZM2G304528	Chr9	24558955	24559620					Zm00001d045498	Chr9	24497658	24498323	Zm00001eb378510	chr9	26484899	26485514																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
pco103628	49.92		GRMZM2G051247	Chr9	25051144	25055285					Zm00001d045509	Chr9	25027814	25032338	Zm00001eb378600	chr9	27015133	27020192																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
gras42	49.92		AC234164.1_FG004	Chr9	24984785	24987244					Zm00001d045507	Chr9	24956261	24958111	Zm00001eb378590	chr9	26943021	26946080																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
rpp13lk3	49.92		GRMZM2G030024	Chr9	25073704	25081056					Zm00001d045512	Chr9	25061243	25063744	Zm00001eb378630	chr9	27047789	27052392																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100381920	49.92		GRMZM2G348921	Chr9	24710847	24712153					Zm00001d045501	Chr9	24651819	24662084	Zm00001eb378550	chr9	26639323	26649666																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
bag17	49.92		GRMZM2G029863	Chr9	25081992	25084628					Zm00001d045513	Chr9	25067414	25069714	Zm00001eb378640	chr9	27054565	27057811																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ring509	49.93		GRMZM2G071602	Chr9	25268905	25272817					Zm00001d045517	Chr9	25249729	25252528	Zm00001eb378700	chr9	27237664	27240252																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
pco063808	49.93		GRMZM2G071491	Chr9	25261154	25270240					Zm00001d045516	Chr9	25240624	25249861	Zm00001eb378690	chr9	27228483	27237485																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
flr9	49.93		GRMZM2G335052	Chr9	25099097	25102362					Zm00001d045515	Chr9	25084738	25087293	Zm00001eb378680	chr9	27072126	27075445																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ppr470	49.94		GRMZM5G882758	Chr9	25275554	25277246					Zm00001d045518	Chr9	25254154	25256961	Zm00001eb378710	chr9	27241799	27244642																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
opt1	49.94		GRMZM5G825515	Chr9	25277887	25281721					Zm00001d045519	Chr9	25257676	25261436	Zm00001eb378720	chr9	27245298	27249070																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
cl59603_1	49.95										Zm00001d045521	Chr9	25318479	25319292	Zm00001eb378750	chr9	27306105	27306939																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100500978	49.95		GRMZM5G809335	Chr9	25284291	25287505					Zm00001d045520	Chr9	25265649	25267237	Zm00001eb378740	chr9	27252041	27261180																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
morf5	49.97		GRMZM2G383540	Chr9	25535158	25537559					Zm00001d045528	Chr9	25547201	25549419	Zm00001eb378800	chr9	27534858	27537114																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
pco083693	49.98		GRMZM2G010649	Chr9	25603230	25605549					Zm00001d045529	Chr9	25600370	25602395	Zm00001eb378810	chr9	27587868	27590381																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
grftf13	50.49		GRMZM2G119359	Chr9	25722859	25725873					Zm00001d045533	Chr9	25739313	25742304	Zm00001eb378820	chr9	27726973	27729989																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
umc2128	50.50		GRMZM2G119411	Chr9	25726920	25741443					Zm00001d045534	Chr9	25743368	25757898	Zm00001eb378830	chr9	27730713	27745633																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
lim101	50.58		GRMZM2G042323	Chr9	25822537	25828426					Zm00001d045537	Chr9	25841071	25846296	Zm00001eb378870	chr9	27828690	27833993																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
sod11	50.59		GRMZM2G042080	Chr9	25828876	25831557					Zm00001d045538	Chr9	25846589	25849271	Zm00001eb378880	chr9	27834116	27836946																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
acb2	50.60		GRMZM2G344634	Chr9	25832050	25833400					Zm00001d045539	Chr9	25849763	25850871	Zm00001eb378890	chr9	27837366	27838716																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
PCO061815	50.62		GRMZM2G041994	Chr9	25834509	25838751					Zm00001d045540	Chr9	25852225	25855075	Zm00001eb378900	chr9	27839833	27842744																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
cl12360_1h	50.65		GRMZM2G059361	Chr9	25871263	25871953					Zm00001d045543	Chr9	25887252	25887915	Zm00001eb378920	chr9	27873742	27885263																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
Zm00001d045544	50.66		GRMZM2G083716	Chr9	25935741	25940848					Zm00001d045544	Chr9	25950941	25956055	Zm00001eb378930	chr9	27938604	27943801																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
XLOC_081570	50.67		GRMZM5G800473	Chr9	26200771	26201285					Zm00001d027072	Chr9	26232410	26232924	Zm00001eb378950	chr9	28190764	28191285																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
Zm00001eb378960	50.68		GRMZM2G090697	Chr9	26321164	26329417									Zm00001eb378960	chr9	28297684	28319920																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ppr6	50.70		GRMZM2G093291	Chr9	26487832	26491734					Zm00001d045550	Chr9	26527595	26531578	Zm00001eb378980	chr9	28485519	28489998																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ccl28	50.72		GRMZM2G393146	Chr9	26491999	26500254					Zm00001d045551	Chr9	26531799	26540137	Zm00001eb378990	chr9	28488867	28498334																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
krp2	50.80		GRMZM2G136838	Chr9	26591337	26597907					Zm00001d045554	Chr9	26632900	26639701	Zm00001eb379030	chr9	28589239	28596122																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
dad1	50.90		GRMZM5G847530	Chr9	26606314	26608509					Zm00001d045555	Chr9	26647373	26649610	Zm00001eb379050	chr9	28603824	28606061																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T5-9(8386)(9)	51.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T5-9a(9)	51.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
hsk1	51.00		GRMZM5G844723	Chr9	129484814	129489588																														maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ufg71	51.10		GRMZM5G870176	Chr9	26614838	26620115					Zm00001d045557	Chr9	26655928	26661244	Zm00001eb379070	chr9	28612349	28617634																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
TIDP2896	51.50		GRMZM2G051890	Chr9	26631544	26635096					Zm00001d045559	Chr9	26672469	26675973	Zm00001eb379100	chr9	28629007	28632491																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
myb148	51.60		GRMZM2G044824	Chr9	26643904	26645305					Zm00001d045560	Chr9	26696309	26697439	Zm00001eb379110	chr9	28652737	28654621																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
d3	52.00		GRMZM2G093195	Chr9	26725936	26729883					Zm00001d045563	Chr9	26822040	26825680	Zm00001eb379120	chr9	28778514	28782552																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
mmp170b	52.02																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
si614021f04b	52.07		GRMZM2G475360	Chr9	26833565	26839136					Zm00001d045566	Chr9	26894389	26898864	Zm00001eb379150	chr9	28849951	28855448																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100191686	52.07		GRMZM2G475293	Chr9	26831058	26834980					Zm00001d045565	Chr9	26893302	26894615	Zm00001eb379140	chr9	28849802	28851296																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ring510	52.24		GRMZM2G367650	Chr9	26946671	26947808					Zm00001d045568	Chr9	27006615	27007079	Zm00001eb379190	chr9	28962999	28964150																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
ssl1	52.26		GRMZM2G066862	Chr9	26957212	26958769					Zm00001d045571	Chr9	27017282	27018543	Zm00001eb379210	chr9	28973864	28975125																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC103639851	52.27		GRMZM2G066775	Chr9	26959407	26960478					Zm00001d045572	Chr9	27019060	27022973	Zm00001eb379220	chr9	28975652	28979643																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
fnr3	52.30		GRMZM2G168143	Chr9	27028016	27030404					Zm00001d045575	Chr9	27084919	27086859	Zm00001eb379240	chr9	29026397	29043520																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC100280993	52.36		GRMZM2G084739	Chr9	27105587	27108026					Zm00001d045578	Chr9	27179112	27180859	Zm00001eb379270	chr9	29135561	29137554																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC103638177	52.41		GRMZM2G084968	Chr9	27109789	27112722					Zm00001d045580	Chr9	27183411	27186157	Zm00001eb379290	chr9	29139818	29142841																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
mybr69	52.43		GRMZM2G135052	Chr9	27185077	27191507					Zm00001d045581	Chr9	27258563	27264640	Zm00001eb379300	chr9	29215205	29221699																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
si605018e07b	52.45		GRMZM2G135044	Chr9	27192679	27194543					Zm00001d045582	Chr9	27266247	27268081	Zm00001eb379310	chr9	29222829	29224838																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
IDP1681	52.50		GRMZM2G037624	Chr9	27237636	27243276					Zm00001d045583	Chr9	27328993	27334927	Zm00001eb379320	chr9	29285953	29291644																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
gras32	52.88		GRMZM2G051785	Chr9	27346189	27348215					Zm00001d045589	Chr9	27423699	27425201	Zm00001eb379340	chr9	29380027	29382175																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
cl42495_1	52.90		GRMZM2G040995	Chr9	27446657	27455323					Zm00001d045590	Chr9	27537950	27546688	Zm00001eb379350	chr9	29494390	29503361																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T4-9(5657)(9)	53.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T8-9(6673)(9)	53.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T1-9(4398)(9)	53.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T2-9(6656)(9)	53.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T3-9(5775)(9)	53.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T8-9(5391)(9)	53.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
Zm00001d045596	53.89		GRMZM2G041765	Chr9	27964192	27967415					Zm00001d045596	Chr9	28028596	28031674	Zm00001eb379410	chr9	29985108	29994051																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
skus12	53.95		GRMZM2G049693	Chr9	28017160	28021526					Zm00001d045599	Chr9	28082328	28086696	Zm00001eb379440	chr9	30038777	30043391																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
w11	54.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T5-9(4817)(9)	54.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T1-9(4995)(9)	54.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T7-9a(9)	54.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
nut1	54.01		GRMZM2G440219	Chr9	28147827	28149574					Zm00001d045601	Chr9	28127424	28127858	Zm00001eb379460	chr9	30080781	30084826																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
psr160d	54.05																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
polm3	54.85		GRMZM2G153792	Chr9	28406066	28413513					Zm00001d045603	Chr9	28436212	28457275	Zm00001eb379470	chr9	30375978	30397143																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
LOC103638191	54.87		GRMZM5G805350	Chr9	28413712	28414162					Zm00001d045605	Chr9	28491169	28499608	Zm00001eb379480	chr9	30396190	30439304																		maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
T9-10b(9)	55.00																																			maizegdb_genetic1_1203645_map_text_BROWSER.txt	1203645	9																																																																																
